representation,iso3,Country,m49_subregion,observed,M0star_cv_prediction,M1b_cv_prediction,M0star_abs_error,M1b_abs_error,M0star_unseen_levels,M1b_unseen_levels,abs_error_change
primary_total_co2,SUR,Suriname,South America,0.14991778270906336,0.1204663309607661,0.12044939416732547,0.02945145174829726,0.02946838854173789,0,0,1.6936793440627818e-05
primary_total_co2,URY,Uruguay,South America,0.1340604374132053,0.1311814031719023,0.13118684924956117,0.002879034241303008,0.0028735881636441363,0,0,-5.4460776588716175e-06
primary_total_co2,VEN,Venezuela,South America,0.14209795456206648,0.11841956725638353,0.11837901038680129,0.023678387305682946,0.023718944175265183,0,0,4.05568695822367e-05
per_capita,DZA,Algeria,Northern Africa,0.24027005915767902,0.1983889452685773,0.1956796395016806,0.041881113889101707,0.044590419655998415,0,0,0.002709305766896708
per_capita,AGO,Angola,Middle Africa,0.2003000150757142,0.1541138759675609,0.15529265257844643,0.04618613910815331,0.04500736249726778,0,0,-0.001178776610885529
per_capita,BEN,Benin,Western Africa,0.20270211677173233,0.18742796992949823,0.1873991218824891,0.015274146842234104,0.015302994889243221,0,0,2.8848047009116806e-05
per_capita,BWA,Botswana,Southern Africa,0.15541865895509172,0.23711897360096426,0.23931804660093986,0.08170031464587255,0.08389938764584814,0,0,0.0021990729999755987
per_capita,BFA,Burkina Faso,Western Africa,0.2158731392585228,0.2140700654868205,0.21385091698232178,0.0018030737717023015,0.0020222222762010245,0,0,0.00021914850449872292
per_capita,BDI,Burundi,Eastern Africa,0.20888549627683978,0.17588459483611665,0.1752274439653238,0.033000901440723124,0.033658052311515974,0,0,0.0006571508707928497
per_capita,CMR,Cameroon,Middle Africa,0.16636200134979467,0.20659232281290124,0.20743581644781237,0.040230321463106566,0.04107381509801769,0,0,0.0008434936349111244
per_capita,CAF,Central African Republic,Middle Africa,0.18403786064638777,0.24289375188984924,0.2433779100425884,0.05885589124346147,0.059340049396200634,0,0,0.00048415815273916696
per_capita,TCD,Chad,Middle Africa,0.2035091414222523,0.2423828161505016,0.2559935022336605,0.03887367472824932,0.052484360811408226,0,0,0.013610686083158907
per_capita,COG,Congo,Middle Africa,0.1704220858831212,0.17725436022096425,0.17751777200739005,0.006832274337843058,0.007095686124268863,0,0,0.00026341178642580454
per_capita,COD,Congo (Democratic Republic Of The),Middle Africa,0.19859794898946587,0.20041938148241517,0.20041007156148483,0.0018214324929493042,0.0018121225720189593,0,0,-9.309920930344884e-06
per_capita,CIV,Côte D'Ivoire,Western Africa,0.20772847580142792,0.1806248056147861,0.17930003912260284,0.02710367018664181,0.02842843667882508,0,0,0.0013247664921832714
per_capita,DJI,Djibouti,Eastern Africa,0.20035987264449803,0.19503260138462533,0.19504891327615223,0.005327271259872701,0.005310959368345802,0,0,-1.6311891526898936e-05
per_capita,EGY,Egypt,Northern Africa,0.15478518959618381,0.2473005893458453,0.2751190651089973,0.0925153997496615,0.12033387551281349,0,0,0.027818475763151995
per_capita,GNQ,Equatorial Guinea,Middle Africa,0.16354706521210607,0.1994092316724186,0.20263994567726465,0.03586216646031254,0.039092880465158575,0,0,0.003230714004846036
per_capita,ERI,Eritrea,Eastern Africa,0.20315322405399622,0.21023218141899402,0.20906240626763267,0.007078957364997807,0.005909182213636455,0,0,-0.001169775151361352
per_capita,ETH,Ethiopia,Eastern Africa,0.2076992707889047,0.20920127263702412,0.20905153520311942,0.0015020018481194108,0.00135226441421471,0,0,-0.00014973743390470085
per_capita,GAB,Gabon,Middle Africa,0.16553931693258667,0.20233647607919833,0.2048045334126648,0.03679715914661166,0.039265216480078136,0,0,0.0024680573334664724
per_capita,GHA,Ghana,Western Africa,0.1992545668996173,0.1806634260434534,0.18081912971654868,0.018591140856163896,0.018435437183068615,0,0,-0.000155703673095281
per_capita,GIN,Guinea,Western Africa,0.22751348300753205,0.18102034907210485,0.18000266465902082,0.0464931339354272,0.04751081834851123,0,0,0.0010176844130840301
per_capita,GNB,Guinea Bissau,Western Africa,0.23319971534367673,0.18892357167206342,0.18865462946426997,0.04427614367161331,0.044545085879406754,0,0,0.00026894220779344336
per_capita,KEN,Kenya,Eastern Africa,0.21062387448612835,0.15445159844336837,0.15207129882756906,0.05617227604275998,0.058552575658559286,0,0,0.002380299615799303
per_capita,LSO,Lesotho,Southern Africa,0.16129029981211962,0.184470613295936,0.18523851648039003,0.023180313483816384,0.023948216668270406,0,0,0.0007679031844540218
per_capita,LBR,Liberia,Western Africa,0.2160061033815747,0.19559924987185023,0.1932772761910117,0.02040685350972446,0.02272882719056299,0,0,0.0023219736808385294
per_capita,LBY,Libya,Northern Africa,0.19059948923507644,0.250520582046177,0.26979278108224825,0.05992109281110056,0.0791932918471718,0,0,0.019272199036071247
per_capita,MDG,Madagascar,Eastern Africa,0.1813544794012833,0.18428197145888442,0.1842901592088495,0.002927492057601122,0.002935679807566205,0,0,8.187749965082869e-06
per_capita,MWI,Malawi,Eastern Africa,0.18854099012577252,0.18874997169988178,0.18853040131707072,0.0002089815741092571,1.0588808701805785e-05,0,0,-0.00019839276540745132
per_capita,MLI,Mali,Western Africa,0.24782669503123966,0.20830607179683858,0.20817779421602964,0.03952062323440109,0.039648900815210025,0,0,0.0001282775808089387
per_capita,MRT,Mauritania,Western Africa,0.2597916027159455,0.19026637296376664,0.18930375452133116,0.06952522975217884,0.07048784819461432,0,0,0.0009626184424354756
per_capita,MAR,Morocco,Northern Africa,0.2418455862979349,0.18768737102639846,0.18620884496483253,0.05415821527153644,0.05563674133310237,0,0,0.0014785260615659268
per_capita,MOZ,Mozambique,Eastern Africa,0.172823801894673,0.19953410778295214,0.1990268652461823,0.026710305888279134,0.026203063351509293,0,0,-0.0005072425367698419
per_capita,NAM,Namibia,Southern Africa,0.17785319196923344,0.20449328123176996,0.20455210028086518,0.026640089262536526,0.02669890831163174,0,0,5.8819049095215625e-05
per_capita,NER,Niger,Western Africa,0.2385606960588716,0.2376136716553566,0.23793063508896814,0.00094702440351499,0.000630060969903451,0,0,-0.000316963433611539
per_capita,NGA,Nigeria,Western Africa,0.2030109401107239,0.20066537224653602,0.20077656003391517,0.0023455678641878808,0.002234380076808734,0,0,-0.0001111877873791467
per_capita,RWA,Rwanda,Eastern Africa,0.20845952779692498,0.18465781439006512,0.184240740454843,0.023801713406859853,0.024218787342081965,0,0,0.000417073935222112
per_capita,SEN,Senegal,Western Africa,0.24097868636270878,0.18728015982925184,0.18457521390920767,0.05369852653345694,0.05640347245350111,0,0,0.002704945920044166
per_capita,SLE,Sierra Leone,Western Africa,0.22372060994282955,0.18907899366962785,0.18684129760799578,0.0346416162732017,0.03687931233483377,0,0,0.002237696061632072
per_capita,SOM,Somalia,Eastern Africa,0.19588332023430152,0.19143515494218247,0.1922571219773179,0.004448165292119055,0.003626198256983626,0,0,-0.0008219670351354291
per_capita,ZAF,South Africa,Southern Africa,0.16028496312204338,0.20315723921144557,0.20277420508424096,0.042872276089402195,0.04248924196219758,0,0,-0.0003830341272046123
per_capita,SDN,Sudan,Northern Africa,0.20487305719629992,0.2583186049306361,0.2594895882614426,0.05344554773433616,0.054616531065142665,0,0,0.0011709833308065076
per_capita,SWZ,Swaziland,Southern Africa,0.15934183499515397,0.20811576774743648,0.21096229122464438,0.048773932752282506,0.05162045622949041,0,0,0.0028465234772079018
per_capita,TZA,Tanzania,Eastern Africa,0.20953051997740807,0.15454788374161305,0.15325246291495476,0.054982636235795024,0.05627805706245331,0,0,0.001295420826658289
per_capita,TGO,Togo,Western Africa,0.1941324419699687,0.2049052397211613,0.20509531089268465,0.010772797751192581,0.010962868922715946,0,0,0.00019007117152336495
per_capita,TUN,Tunisia,Northern Africa,0.23748975158588337,0.23743392134773886,0.2373381773772382,5.5830238144510824e-05,0.00015157420864517213,0,0,9.57439705006613e-05
per_capita,UGA,Uganda,Eastern Africa,0.21147594840550732,0.21985657153646987,0.22037989142512024,0.00838062313096255,0.00890394301961292,0,0,0.0005233198886503698
per_capita,ZMB,Zambia,Eastern Africa,0.17691283567770744,0.18066339430410439,0.18125974975547277,0.0037505586263969493,0.004346914077765329,0,0,0.00059635545136838
per_capita,ZWE,Zimbabwe,Eastern Africa,0.1535502891079796,0.18781640889122558,0.1885510973974842,0.03426611978324598,0.03500080828950461,0,0,0.0007346885062586295
per_capita,AFG,Afghanistan,Southern Asia,0.24733117695547363,0.1897249881037236,0.18762676478157236,0.057606188851750034,0.05970441217390127,0,0,0.0020982233221512325
per_capita,ARM,Armenia,Western Asia,0.18833773750931812,0.17035955396426147,0.17024970461220523,0.017978183545056647,0.018088032897112888,0,0,0.00010984935205624047
per_capita,AZE,Azerbaijan,Western Asia,0.19504824967387935,0.17325328111920496,0.17328118497146788,0.021794968554674388,0.021767064702411465,0,0,-2.790385226292269e-05
per_capita,BGD,Bangladesh,Southern Asia,0.11108862004719486,0.1614366645523932,0.16162136621512463,0.050348044505198336,0.05053274616792977,0,0,0.00018470166273143462
per_capita,MMR,Burma,South-eastern Asia,0.10898678984933867,0.17688055294714294,0.17732198612022723,0.06789376309780427,0.06833519627088856,0,0,0.000441433173084288
per_capita,KHM,Cambodia,South-eastern Asia,0.12397652977439673,0.15662636202023167,0.1567074361665656,0.03264983224583494,0.03273090639216887,0,0,8.107414633393151e-05
per_capita,CHN,China,Eastern Asia,0.18801127254816274,0.18541728877003533,0.18662021053427558,0.0025939837781274178,0.0013910620138871677,0,0,-0.00120292176424025
per_capita,GEO,Georgia,Western Asia,0.17014653222140888,0.16957362707163348,0.16966793513593068,0.000572905149775399,0.0004785970854782051,0,0,-9.430806429719385e-05
per_capita,IND,India,Southern Asia,0.12279874845556998,0.18257283634314045,0.1823438514108128,0.059774087887570465,0.05954510295524282,0,0,-0.00022898493232764716
per_capita,IDN,Indonesia,South-eastern Asia,0.1365994643114788,0.08472933213652951,0.08413826922004888,0.05187013217494928,0.05246119509142991,0,0,0.0005910629164806308
per_capita,IRN,Iran,Southern Asia,0.25326598928356275,0.15731367545478686,0.15822630091092532,0.09595231382877589,0.09503968837263743,0,0,-0.0009126254561384606
per_capita,IRQ,Iraq,Western Asia,0.1763349119758569,0.1667525866066258,0.17315070092675403,0.009582325369231093,0.0031842110491028808,0,0,-0.006398114320128212
per_capita,ISR,Israel,Western Asia,0.1289730259690734,0.20045413770401843,0.20100249833339645,0.07148111173494504,0.07202947236432306,0,0,0.0005483606293780197
per_capita,JPN,Japan,Eastern Asia,0.13484212055215955,0.1292075881650737,0.12994830030599575,0.005634532387085861,0.004893820246163805,0,0,-0.0007407121409220563
per_capita,JOR,Jordan,Western Asia,0.1241622692023015,0.1497396928558919,0.16212011706709156,0.025577423653590392,0.03795784786479006,0,0,0.01238042421119967
per_capita,KAZ,Kazakhstan,Central Asia,0.2607179280248597,0.1835518088019733,0.1717597854489694,0.07716611922288641,0.08895814257589033,0,0,0.011792023353003916
per_capita,LAO,Laos,South-eastern Asia,0.11990552917453423,0.16695814386165247,0.16704979845298779,0.047052614687118244,0.047144269278453554,0,0,9.165459133531062e-05
per_capita,LBN,Lebanon,Western Asia,0.13240721718298015,0.16203427374276175,0.16375535751208325,0.029627056559781595,0.0313481403291031,0,0,0.0017210837693215075
