representation,model,fit,held_out_iso3,fold,n_train,matrix_columns,matrix_rank,feature_identified,column,coefficient
primary_total_co2,M0star,primary_training,TCD,8,140,20,20,,spatial_block=North America,-0.09708281799241855
primary_total_co2,M0star,primary_training,TCD,8,140,20,20,,spatial_block=Oceania,-0.05631207532025151
primary_total_co2,M0star,primary_training,TCD,8,140,20,20,,spatial_block=South America,-0.06496331558763943
primary_total_co2,M0star,primary_training,TCD,8,140,20,20,,income_group=Low-income countries,0.0062648944708529625
primary_total_co2,M0star,primary_training,TCD,8,140,20,20,,income_group=Lower-middle-income countries,-0.007001985797439919
primary_total_co2,M0star,primary_training,TCD,8,140,20,20,,income_group=Upper-middle-income countries,-0.014232376994222829
primary_total_co2,M0star,primary_training,COG,9,143,20,20,,intercept,0.2787099519515857
primary_total_co2,M0star,primary_training,COG,9,143,20,20,,cum_co2_total,0.016629063743857204
primary_total_co2,M0star,primary_training,COG,9,143,20,20,,abs_latitude,0.0009852493346989082
primary_total_co2,M0star,primary_training,COG,9,143,20,20,,elevation,-9.783628909456338e-07
primary_total_co2,M0star,primary_training,COG,9,143,20,20,,continentality,4.881739513222432e-05
primary_total_co2,M0star,primary_training,COG,9,143,20,20,,population,-0.016321828611876893
primary_total_co2,M0star,primary_training,COG,9,143,20,20,,station_density,-0.0015175820243373275
primary_total_co2,M0star,primary_training,COG,9,143,20,20,,climate_zone=B,8.714988963779517e-05
primary_total_co2,M0star,primary_training,COG,9,143,20,20,,climate_zone=C,-0.027509729403971773
primary_total_co2,M0star,primary_training,COG,9,143,20,20,,climate_zone=D,-0.012332131951681823
primary_total_co2,M0star,primary_training,COG,9,143,20,20,,climate_zone=E,-0.0985302663843069
primary_total_co2,M0star,primary_training,COG,9,143,20,20,,hemisphere=S,-0.03349122714264711
primary_total_co2,M0star,primary_training,COG,9,143,20,20,,spatial_block=Asia,-0.057272149999783244
primary_total_co2,M0star,primary_training,COG,9,143,20,20,,spatial_block=Europe,-0.06608624368619725
primary_total_co2,M0star,primary_training,COG,9,143,20,20,,spatial_block=North America,-0.09863452395640918
primary_total_co2,M0star,primary_training,COG,9,143,20,20,,spatial_block=Oceania,-0.054656478468141714
primary_total_co2,M0star,primary_training,COG,9,143,20,20,,spatial_block=South America,-0.06524724062693309
primary_total_co2,M0star,primary_training,COG,9,143,20,20,,income_group=Low-income countries,-0.0008400849203405924
primary_total_co2,M0star,primary_training,COG,9,143,20,20,,income_group=Lower-middle-income countries,-0.014039552988173179
primary_total_co2,M0star,primary_training,COG,9,143,20,20,,income_group=Upper-middle-income countries,-0.01499662306558584
primary_total_co2,M0star,primary_training,COD,10,133,20,20,,intercept,0.27807491266194984
primary_total_co2,M0star,primary_training,COD,10,133,20,20,,cum_co2_total,0.018349167157021475
primary_total_co2,M0star,primary_training,COD,10,133,20,20,,abs_latitude,0.0009571756902164875
primary_total_co2,M0star,primary_training,COD,10,133,20,20,,elevation,-3.792423532866492e-06
primary_total_co2,M0star,primary_training,COD,10,133,20,20,,continentality,5.114580349764e-05
primary_total_co2,M0star,primary_training,COD,10,133,20,20,,population,-0.018193621195071695
primary_total_co2,M0star,primary_training,COD,10,133,20,20,,station_density,-0.001407823499441543
primary_total_co2,M0star,primary_training,COD,10,133,20,20,,climate_zone=B,0.007170349906782474
primary_total_co2,M0star,primary_training,COD,10,133,20,20,,climate_zone=C,-0.019525032870337963
