iso3,Country,terrestrial_area_km2,n_pixels_60s,abs_latitude,hemisphere,north_area_fraction,elevation_coverage,elevation_if_computed,elevation,continentality_coverage,continentality,continentality_5min,continentality_60s_check,climate_zone,koppen_area_share_A,koppen_area_share_B,koppen_area_share_C,koppen_area_share_D,koppen_area_share_E,koppen_unclassified_share,koppen_winner_margin_km2,koppen_unclassified_km2,mixed_pixel_area_km2,elevation_water_centred_land_km2,negative_land_area_km2,elevation_missing_fraction,elevation_missing_cause,climate_missing_cause,missing_reasons,continentality_60s_pass,gpw_footprint_area_km2,gpw_cells,removed_water_area_km2,spatial_block,v1_abs_latitude,v1_elevation,v1_continentality,v1_climate_zone,v1_hemisphere,continentality_station_v1,continentality_station_exact_arc,continentality_diff_3min_vs_5min_km,continentality_diff_3min_vs_60s_km,continentality_quadrature,continentality_3min,continentality_quadrature_ok,climate_zone_changed,hemisphere_changed,abs_latitude_change,elevation_change,continentality_change
IND,India,3158591.4190404927,1007936,22.662846267196468,N,1.0,0.9988601880605903,565.3964098046754,565.3964098046754,0.9999999999996141,456.9450938820592,456.9442673261527,,A,0.3785862274863282,0.3096118410445391,0.27474598452798793,0.0057805903685039925,0.030735739437273465,0.0005396171348068008,217861.9051486178,1704.4300515679777,17671.034044992055,3600.2002111553893,2418.45742586235,0.0011398119394147683,terrestrial support inside 60″ ETOPO pixels whose centre is water (spec §4 elevation rule; coastline/island resolution),terrestrial support inside Köppen 0.5° pixels coded 0/unmapped (source raster land/sea resolution),{},,3309136.527603906,4660,150545.10856341338,Asia,22.25485933503836,241.7615375030986,426.4417018320571,A,N,426.4417018320571,425.11289374509994,0.0008265559064852823,,3min,456.9450938820592,True,False,False,0.40798693215810644,323.6348723015768,30.503392050002105
IDN,Indonesia,1897440.3510520142,581546,3.1605983648272575,S,0.2685134107701901,0.9906991922473796,329.9082870566105,329.9082870566105,0.9999999999994877,83.05978684615347,83.06647846497683,83.0568080459141,A,0.973644923776764,0.0,0.021040004808135428,0.0,0.0,0.005315071415080895,1807511.01186171,10085.030971697619,80810.34785605827,17647.727927186712,5541.275491122826,0.009300807752613742,terrestrial support inside 60″ ETOPO pixels whose centre is water (spec §4 elevation rule; coastline/island resolution),terrestrial support inside Köppen 0.5° pixels coded 0/unmapped (source raster land/sea resolution),{},representative,2933692.0634697094,3807,1036251.7124176952,Asia,5.857724137931035,119.2868159606539,35.7087662442575,A,S,35.7087662442575,35.721932482874806,0.006691618823353451,0.0029788002393758006,3min,83.05978684615347,True,False,False,-2.697125773103777,210.62147109595662,47.351020601895975
IRN,Iran,1617661.0020893426,561611,32.42565816299135,N,1.0,0.9993144035428134,1252.0120785055553,1252.0120785055553,0.9999999999993746,291.1144392049931,291.1154433073077,,B,0.0,0.8933332816394848,0.04424751308345233,0.06214607775438777,0.0,0.00027312752237601215,1344579.1251606047,441.8277415449591,5516.701175999528,1109.0626519340863,8990.916684862408,0.0006855964571697286,terrestrial support inside 60″ ETOPO pixels whose centre is water (spec §4 elevation rule; coastline/island resolution),terrestrial support inside Köppen 0.5° pixels coded 0/unmapped (source raster land/sea resolution),{},,1670414.13231678,2567,52753.130227437476,Asia,34.34257575757576,1447.170124689738,245.46141844990464,B,N,245.46141844990464,244.47409646075045,0.0010041023145959116,,3min,291.1144392049931,True,False,False,-1.9169175945844117,-195.1580461841827,45.65302075508848
IRQ,Iraq,440934.90216790454,153803,32.93695137550909,N,1.0,0.9989618314230655,300.6508917252356,300.6508917252356,1.000000000000028,430.4027038100381,430.40493767421833,,B,0.0,0.8774043224964027,0.10151467906486233,0.02108099843875692,0.0,0.0,342116.8240195766,0.0,2501.864614498844,457.7647599052787,221.78351681005287,0.0010381685769364783,terrestrial support inside 60″ ETOPO pixels whose centre is water (spec §4 elevation rule; coastline/island resolution),,{},,445684.3383113614,688,4749.436143456842,Asia,35.365,289.8549337387085,493.08066829081065,C,N,493.08066829081065,489.835793047834,0.002233864180254841,,3min,430.4027038100381,True,True,False,-2.4280486244909127,10.795957986527128,-62.67796448077257
ISR,Israel,21870.81354761633,7595,31.45335382069908,N,1.0,0.9970455619707795,306.86757127852195,306.86757127852195,0.999999999999993,51.529693744339255,51.53183175502281,,B,0.0,0.6118865499126426,0.3881134500873589,0.0,0.0,0.0,4894.099743250914,0.0,379.9058992530724,64.61596327506875,916.6062215834938,0.002954438029220507,terrestrial support inside 60″ ETOPO pixels whose centre is water (spec §4 elevation rule; coastline/island resolution),,{},,25667.625963249753,39,3796.8124156334234,Asia,32.06111111111111,476.33343505859375,40.74969055425075,B,N,40.74969055425075,40.629787277568965,0.0021380106835522383,,3min,51.529693744339255,True,False,False,-0.6077572904120316,-169.4658637800718,10.780003190088507
JPN,Japan,371511.1203919404,145403,37.32577149945765,N,1.0,0.9877564104767607,388.7242538069018,388.7242538069018,0.9999999999998673,46.52167473737616,46.54019287647496,,D,0.0011458596099050678,0.0,0.48867473200701894,0.5046836911423885,0.0,0.0054957172406218035,5947.5063446899585,2041.7200694207095,21167.44112272003,4548.629661400883,1286.2070818001384,0.012243589523247988,terrestrial support inside 60″ ETOPO pixels whose centre is water (spec §4 elevation rule; coastline/island resolution),terrestrial support inside Köppen 0.5° pixels coded 0/unmapped (source raster land/sea resolution),{},,625312.8843963095,1009,253801.7640043691,Asia,35.745828571428575,168.62458624703544,82.64314172622903,C,N,82.64314172622903,74.90319188062692,0.018518139098802067,,3min,46.52167473737616,True,True,False,1.5799429280290767,220.09966755986636,-36.12146698885287
JOR,Jordan,86155.66690495415,29389,31.257354786844438,N,1.0,0.9997849217773948,766.845265819918,766.845265819918,0.9999999999999695,189.07205569240185,189.0722183703107,,B,0.0,0.9547661199893204,0.04523388001066432,0.0,0.0,0.0,78361.35670691791,0.0,99.04046309850703,18.53020770525199,2401.8366012300417,0.00021507822260483783,terrestrial support inside 60″ ETOPO pixels whose centre is water (spec §4 elevation rule; coastline/island resolution),,{},,86512.94500905677,131,357.27810410261736,Asia,32.95,941.8968505859375,32.37622746276071,C,N,32.37622746276071,32.37622746276078,0.00016267790886104194,,3min,189.07205569240185,True,True,False,-1.692645213155565,-175.05158476601946,156.69582822964114
KAZ,Kazakhstan,2641278.1988892895,1161173,48.01183103871047,N,1.0,0.9989961778844001,360.17199021852525,360.17199021852525,1.0000000000008702,1113.8547333348788,1113.8545902105923,1113.854616750633,B,0.0,0.9210058524247995,0.0006594853409054031,0.0715177682919528,0.006816893942275206,0.0,2243734.3568363185,0.0,13805.265663693288,2651.3734694941486,155735.3579708463,0.0010038221155988431,terrestrial support inside 60″ ETOPO pixels whose centre is water (spec §4 elevation rule; coastline/island resolution),,{},representative,2745639.8408985734,5331,104361.64200928388,Asia,48.915333333333336,484.8650632222494,1283.3287869501294,B,N,1283.3287869501294,1210.541163041926,0.00014312428652374365,0.00011658424568850023,3min,1113.8547333348788,True,False,False,-0.9035022946228679,-124.69307300372412,-169.47405361525057
LAO,Laos,230512.62345040348,71095,18.50787735402101,N,1.0,0.9988073118264413,659.1269702201769,659.1269702201769,0.9999999999998842,285.76150756420714,285.76307811986254,,A,0.5908056956201836,0.0,0.4091943043797227,0.0,0.0,0.0,41863.71824331627,0.0,1398.9841982145515,274.9296798452882,0.0,0.0011926881735587092,terrestrial support inside 60″ ETOPO pixels whose centre is water (spec §4 elevation rule; coastline/island resolution),,{},,231391.18781338836,316,878.5643629848782,Asia,18.48,466.8389892578125,277.298802346493,A,N,277.298802346493,277.29880234649323,0.0015705556554053146,,3min,285.76150756420714,True,False,False,0.027877354021008216,192.28798096236437,8.46270521771413
LBN,Lebanon,10045.02584065483,3603,33.91600644450052,N,1.0,0.9957264137194771,979.0885785047523,979.0885785047523,0.9999999999999886,28.207216614306407,28.193774905190995,,C,0.0,0.0,1.0,0.0,0.0,0.0,10045.02584065483,0.0,192.44032418457795,42.92828462012068,4.8621370268882185,0.0042735862805229185,terrestrial support inside 60″ ETOPO pixels whose centre is water (spec §4 elevation rule; coastline/island resolution),,{},,12825.986699471163,20,2780.9608588163337,Asia,34.02333333333333,-872.9927164713541,59.931174779228634,C,N,59.931174779228634,59.05381505770119,0.013441709115411982,,3min,28.207216614306407,True,False,False,-0.10732688883281583,1852.0812949761064,-31.723958164922227
MYS,Malaysia,330713.551864837,99085,3.7869025369073386,N,1.0,0.9948687839983215,266.5507579374853,266.5507579374853,1.000000000000063,71.66835985938835,71.67511820541311,,A,0.9980805897941968,0.0,0.0,0.0,0.0,0.0019194102058034653,330078.7768981902,634.7749666468818,8150.823942876092,1696.9626693021823,207.71066827646976,0.005131216001682728,terrestrial support inside 60″ ETOPO pixels whose centre is water (spec §4 elevation rule; coastline/island resolution),terrestrial support inside Köppen 0.5° pixels coded 0/unmapped (source raster land/sea resolution),{},,417719.07575224363,542,87005.52388740663,Asia,3.6174999999999997,61.488870069384575,33.43449978139673,A,N,33.43449978139673,33.430659253791376,0.0067583460247675475,,3min,71.66835985938835,True,False,False,0.16940253690733886,205.0618878681007,38.233860077991615
MNG,Mongolia,1549501.694361067,660930,46.72946041089618,N,1.0,0.9996579407222039,1489.2477545236122,1489.2477545236122,1.0000000000002434,1496.291211685167,1496.2909416904051,1496.2913321398635,B,0.0,0.7134916073640403,0.0,0.25261104763998454,0.03389734499627983,0.0,714135.2081905012,0.0,2776.0374298645474,530.0214305124231,0.0,0.0003420592777931592,terrestrial support inside 60″ ETOPO pixels whose centre is water (spec §4 elevation rule; coastline/island resolution),,{},representative,1562353.530903868,2958,12851.836542801,Asia,47.42,1629.556640625,1247.786939954368,B,N,1247.786939954368,1233.4903586782816,0.0002699947617657017,0.00012045469657095964,3min,1496.291211685167,True,False,False,-0.6905395891038211,-140.30888610138777,248.5042717307988
NPL,Nepal,143584.19359180162,47475,28.263426520718873,N,1.0,1.0,2122.0242024122344,2122.0242024122344,0.9999999999999438,821.9975029382396,821.9965945605001,,C,0.0,0.0,0.7599847134553142,0.0,0.2400152865446913,0.0,74659.390855353,0.0,0.0,0.0,0.0,0.0,,,{},,143584.19359179385,211,-7.770722731947899e-09,Asia,27.439999999999998,572.1913659232004,675.6541122586723,C,N,675.6541122586723,675.6541122586722,0.0009083777395062498,,3min,821.9975029382396,True,False,False,0.8234265207188756,1549.832836489034,146.34339067956728
OMN,Oman,311210.71743266925,97773,20.55673912615902,N,1.0,0.9981767982169933,275.3275104687551,275.3275104687551,0.9999999999999517,116.41141377127529,116.41273981320724,,B,0.0,0.9986910425418383,0.0,0.0,0.0,0.0013089574581636692,310803.3558430259,407.36158964395867,2733.34432435912,567.399934914635,223.6075863894029,0.001823201783008622,terrestrial support inside 60″ ETOPO pixels whose centre is water (spec §4 elevation rule; coastline/island resolution),terrestrial support inside Köppen 0.5° pixels coded 0/unmapped (source raster land/sea resolution),{},,356363.3332619899,493,45152.615829320624,Asia,16.87,809.6633911132812,15.503326119087154,B,N,15.503326119087154,15.476792474590008,0.00132604193194652,,3min,116.41141377127529,True,False,False,3.6867391261590186,-534.3358806445261,100.90808765218814
PAK,Pakistan,879331.2324352971,297150,29.86104423761397,N,1.0,0.9990096729416452,1012.4713140623363,1012.4713140623363,1.0000000000000968,622.0939811563662,622.0918696344582,,B,0.0,0.8651409889014663,0.051813340007520664,0.018167948980065577,0.06482487423540478,5.284787540966688e-05,703742.9554471364,46.47078741556941,4620.309533139334,870.82551274745,694.3447996911308,0.000990327058366515,terrestrial support inside 60″ ETOPO pixels whose centre is water (spec §4 elevation rule; coastline/island resolution),terrestrial support inside Köppen 0.5° pixels coded 0/unmapped (source raster land/sea resolution),{},,896256.0714293859,1340,16924.838994088816,Asia,30.52915254237288,270.0815026881331,782.4292145410926,B,N,782.4292145410926,778.8723840075266,0.002111521907977476,,3min,622.0939811563662,True,False,False,-0.6681083047589098,742.3898113742032,-160.3352333847264
