iso3,Country,feature,coverage_basis,achieved,required,rule,passes,missing_area_km2,missing_support_source,classification
LSO,Lesotho,climate_zone,classified terrestrial area,1.0,0.95,>= 95% and A1 - A2 > unclassified,True,0.0,,
LSO,Lesotho,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
LBR,Liberia,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
LBR,Liberia,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
LBR,Liberia,elevation,valid terrestrial area (land-centred ETOPO pixels),0.9983942500108192,0.98,>= 98%,True,154.98576918301885,,
LBR,Liberia,continentality,terrestrial area with a distance value,1.000000000000016,0.98,>= 98%,True,-1.543073514916045e-09,,
LBR,Liberia,climate_zone,classified terrestrial area,0.9987933967089329,0.95,>= 95% and A1 - A2 > unclassified,True,116.46043308410864,,
LBR,Liberia,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
LBY,Libya,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
LBY,Libya,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
LBY,Libya,elevation,valid terrestrial area (land-centred ETOPO pixels),0.9997330080882798,0.98,>= 98%,True,432.2162707446134,,
LBY,Libya,continentality,terrestrial area with a distance value,0.9999999999990156,0.98,>= 98%,True,1.5936389842684614e-06,,
LBY,Libya,climate_zone,classified terrestrial area,0.9998790792584464,0.95,>= 95% and A1 - A2 > unclassified,True,195.750918569876,,
LBY,Libya,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
MDG,Madagascar,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
MDG,Madagascar,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
MDG,Madagascar,elevation,valid terrestrial area (land-centred ETOPO pixels),0.9972186263428846,0.98,>= 98%,True,1649.0769473875168,,
MDG,Madagascar,continentality,terrestrial area with a distance value,1.000000000000056,0.98,>= 98%,True,-3.3175872238847645e-08,,
MDG,Madagascar,climate_zone,classified terrestrial area,0.9982735431258464,0.95,>= 95% and A1 - A2 > unclassified,True,1023.6165948224973,,
