representation,model,protocol,fit,column,coefficient
primary_total_co2,M0star,primary_loco,DJI,abs_latitude,0.0011771890756448588
primary_total_co2,M0star,primary_loco,DJI,elevation,-8.268504221341689e-07
primary_total_co2,M0star,primary_loco,DJI,continentality,4.3481432549293366e-05
primary_total_co2,M0star,primary_loco,DJI,population,-0.011691411162182624
primary_total_co2,M0star,primary_loco,DJI,station_density,-0.0016310482652001762
primary_total_co2,M0star,primary_loco,DJI,climate_zone=B,0.002135623192367798
primary_total_co2,M0star,primary_loco,DJI,climate_zone=C,-0.02558717642325022
primary_total_co2,M0star,primary_loco,DJI,climate_zone=D,-0.01006372496206636
primary_total_co2,M0star,primary_loco,DJI,climate_zone=E,-0.09734020433004886
primary_total_co2,M0star,primary_loco,DJI,hemisphere=S,-0.02658743506304079
primary_total_co2,M0star,primary_loco,DJI,spatial_block=Asia,-0.05512886834694651
primary_total_co2,M0star,primary_loco,DJI,spatial_block=Europe,-0.06486065677009356
primary_total_co2,M0star,primary_loco,DJI,spatial_block=North America,-0.09293680823229368
primary_total_co2,M0star,primary_loco,DJI,spatial_block=Oceania,-0.05813624622836984
primary_total_co2,M0star,primary_loco,DJI,spatial_block=South America,-0.06404204294872783
primary_total_co2,M0star,primary_loco,DJI,income_group=Low-income countries,-0.0037777025523155583
primary_total_co2,M0star,primary_loco,DJI,income_group=Lower-middle-income countries,-0.012476908348238277
primary_total_co2,M0star,primary_loco,DJI,income_group=Upper-middle-income countries,-0.015638216445420274
primary_total_co2,M0star,primary_loco,EGY,intercept,0.26178352214177186
primary_total_co2,M0star,primary_loco,EGY,cum_co2_total,0.021753639724812278
primary_total_co2,M0star,primary_loco,EGY,abs_latitude,0.0011281654401827938
primary_total_co2,M0star,primary_loco,EGY,elevation,-2.313137918452705e-06
primary_total_co2,M0star,primary_loco,EGY,continentality,3.480953703002663e-05
primary_total_co2,M0star,primary_loco,EGY,population,-0.017650262997982464
primary_total_co2,M0star,primary_loco,EGY,station_density,-0.001671509713482535
primary_total_co2,M0star,primary_loco,EGY,climate_zone=B,0.017049365832431544
primary_total_co2,M0star,primary_loco,EGY,climate_zone=C,-0.020340558141119045
primary_total_co2,M0star,primary_loco,EGY,climate_zone=D,-0.007001298064868214
primary_total_co2,M0star,primary_loco,EGY,climate_zone=E,-0.09213980006895438
primary_total_co2,M0star,primary_loco,EGY,hemisphere=S,-0.030313204845093374
primary_total_co2,M0star,primary_loco,EGY,spatial_block=Asia,-0.05483828050691549
primary_total_co2,M0star,primary_loco,EGY,spatial_block=Europe,-0.06704650229793487
primary_total_co2,M0star,primary_loco,EGY,spatial_block=North America,-0.0937046423687318
primary_total_co2,M0star,primary_loco,EGY,spatial_block=Oceania,-0.06027589384181227
primary_total_co2,M0star,primary_loco,EGY,spatial_block=South America,-0.0632777069200058
primary_total_co2,M0star,primary_loco,EGY,income_group=Low-income countries,0.020882615068371642
primary_total_co2,M0star,primary_loco,EGY,income_group=Lower-middle-income countries,-0.00167476711487252
primary_total_co2,M0star,primary_loco,EGY,income_group=Upper-middle-income countries,-0.012785078421540148
primary_total_co2,M0star,primary_loco,GNQ,intercept,0.2799129991263426
primary_total_co2,M0star,primary_loco,GNQ,cum_co2_total,0.01800251741039412
primary_total_co2,M0star,primary_loco,GNQ,abs_latitude,0.0008848709818835044
primary_total_co2,M0star,primary_loco,GNQ,elevation,-1.598609087408916e-06
primary_total_co2,M0star,primary_loco,GNQ,continentality,4.589235222673544e-05
primary_total_co2,M0star,primary_loco,GNQ,population,-0.01715394677854254
primary_total_co2,M0star,primary_loco,GNQ,station_density,-0.0016779908364073367
primary_total_co2,M0star,primary_loco,GNQ,climate_zone=B,0.002523020905316282
primary_total_co2,M0star,primary_loco,GNQ,climate_zone=C,-0.023310103199411358
primary_total_co2,M0star,primary_loco,GNQ,climate_zone=D,-0.007812703512262867
primary_total_co2,M0star,primary_loco,GNQ,climate_zone=E,-0.0922711694447846
primary_total_co2,M0star,primary_loco,GNQ,hemisphere=S,-0.029716940337198548
primary_total_co2,M0star,primary_loco,GNQ,spatial_block=Asia,-0.056257835142772
primary_total_co2,M0star,primary_loco,GNQ,spatial_block=Europe,-0.0650014677338562
primary_total_co2,M0star,primary_loco,GNQ,spatial_block=North America,-0.09750858264194068
primary_total_co2,M0star,primary_loco,GNQ,spatial_block=Oceania,-0.059264893270742136
primary_total_co2,M0star,primary_loco,GNQ,spatial_block=South America,-0.0671056178815808
primary_total_co2,M0star,primary_loco,GNQ,income_group=Low-income countries,0.0007203375070605836
primary_total_co2,M0star,primary_loco,GNQ,income_group=Lower-middle-income countries,-0.01086465997958456
primary_total_co2,M0star,primary_loco,GNQ,income_group=Upper-middle-income countries,-0.014082003826935944
primary_total_co2,M0star,primary_loco,ERI,intercept,0.2294116085101364
primary_total_co2,M0star,primary_loco,ERI,cum_co2_total,0.015115335329558879
primary_total_co2,M0star,primary_loco,ERI,abs_latitude,0.0011496961908995385
primary_total_co2,M0star,primary_loco,ERI,elevation,-1.324464639489799e-06
primary_total_co2,M0star,primary_loco,ERI,continentality,4.150659980088565e-05
primary_total_co2,M0star,primary_loco,ERI,population,-0.009877686973158198
primary_total_co2,M0star,primary_loco,ERI,station_density,-0.0015870353209794395
primary_total_co2,M0star,primary_loco,ERI,climate_zone=B,0.010043650318350463
primary_total_co2,M0star,primary_loco,ERI,climate_zone=C,-0.023666431699968845
primary_total_co2,M0star,primary_loco,ERI,climate_zone=D,-0.005840349958940503
primary_total_co2,M0star,primary_loco,ERI,climate_zone=E,-0.08972892771748023
