iso3,Country,terrestrial_area_km2,valid_area_km2,coverage,baseline_dryness,p_bar_area_mean_mm_yr,e_bar_area_mean_mm_yr,pre_station_supported_share,pre_mean_station_count,pre_pure_climatology_share,n_cru_cells,n_valid_cru_cells,invalid_reasons
LKA,Sri Lanka,66241.20320277511,66058.1974045986,0.9972372814905505,0.074532536214906,1775.6284951898238,1464.4960487935311,1.0,7.902768776249198,0.0,37,33,"{""non-finite month"": 183.005798}"
SYR,Syria,186304.8916848154,186304.8916848154,1.0,-0.796617529834009,308.56292031784614,1719.7594489152866,0.9521158685437193,6.436637406887523,0.0,89,89,{}
TWN,Taiwan,36340.24662053837,36163.79920915868,0.9951445730893866,0.31460993248404734,2128.386447767834,1032.204770088779,1.0,8.0,0.0,41,25,"{""non-finite month"": 176.447411}"
TJK,Tajikistan,139993.581148512,139993.581148512,1.0,-0.1877410641243553,606.4485790581964,892.6070935262364,1.0,7.855561640517319,0.0,75,75,{}
THA,Thailand,516325.4675294074,515476.6598565887,0.9983560608062193,0.06957088539128392,1570.617980843238,1281.6385515521845,1.0,7.965588277567841,0.0,228,211,"{""non-finite month"": 848.807673}"
TUR,Turkey,771186.4309044062,770878.6465007167,0.9996008949440038,-0.25643769062345745,602.0268393940954,1058.5145409747317,0.9473644588690144,6.588572886644094,0.0,381,372,"{""non-finite month"": 307.784404}"
TKM,Turkmenistan,468851.51418843394,466591.8817718996,0.9951804945741816,-1.0264745521199563,141.75275023255654,1430.5199875900864,0.9878442648322485,6.9345230244047835,0.0,233,227,"{""non-finite month"": 2259.632417}"
ARE,United Arab Emirates,79471.90601817542,79229.05844788079,0.9969442337240648,-1.551329888163533,62.37286078474489,2114.80076422455,0.5570058361795424,0.5701859175510557,0.07179234757064941,49,40,"{""non-finite month"": 242.84757}"
UZB,Uzbekistan,417484.20640059625,417484.20640059625,1.0,-0.9080445388031221,198.25379630299898,1329.1531764919762,0.9901949230277391,6.879398698646434,0.0,223,223,{}
VNM,Vietnam,329367.5859413006,328800.1651780472,0.9982772416367817,0.17837608184109507,1772.6921391183405,1177.9274075263083,0.8159174064869522,3.4432254152157853,0.004027944604948256,168,151,"{""non-finite month"": 567.420763}"
YEM,Yemen,454853.66345022945,454291.2359874034,0.9987634980038198,-1.1096930652914399,181.34259390770666,1902.9048136731271,0.2880098746748828,0.4400056502120736,0.44628318126251504,193,182,"{""non-finite month"": 562.427463}"
ALB,Albania,27823.331212047622,27823.331212047622,1.0,0.1038326817933687,1174.2491518568884,918.8200760634264,1.0,7.879027801447807,0.0,19,19,{}
AUT,Austria,83605.16160251292,83605.16160251292,1.0,0.21969659624808846,1100.6974144290723,642.2356407026617,1.0,8.0,0.0,50,50,{}
BLR,Belarus,205772.92251152458,205772.92251152458,1.0,0.011670253440293297,638.3039752421188,621.7881923346397,0.9999489077970759,7.91074072704654,0.0,128,128,{}
BEL,Belgium,30652.429669957946,30652.429669957946,1.0,0.09861927026964269,855.579224155064,676.2158843190178,1.0,8.0,0.0,23,23,{}
BIH,Bosnia And Herzegovina,51472.60275863837,51472.60275863837,1.0,0.13530764297454892,1100.705375008764,799.2583763696646,1.0,8.0,0.0,30,30,{}
BGR,Bulgaria,111389.75196961852,111340.91245065891,0.9995615438754821,-0.13417268676785168,633.6853183982731,858.5156374330471,1.0,7.799337558444488,0.0,62,60,"{""non-finite month"": 48.839519}"
HRV,Croatia,56417.123384299884,56126.95187217999,0.9948566765777241,0.13201739933272547,1102.3954150493478,791.7630701941883,1.0,8.0,0.0,52,43,"{""non-finite month"": 290.171512}"
CYP,Cyprus,9300.166612860025,9239.332580945229,0.9934588234332624,-0.4604581975853567,503.8671276799007,1440.111072426773,1.0,7.410318331172051,0.0,12,10,"{""non-finite month"": 60.834032}"
CZE,Czech Republic,79805.01711055235,79805.01711055235,1.0,0.013303254127415405,692.6188609308701,665.1497005664833,1.0,8.0,0.0,51,51,{}
DNK,Denmark,43336.56120797192,43167.49543911362,0.9960987728572427,0.08599930218505153,685.8077264035737,557.169411078296,1.0,8.0,0.0,58,49,"{""non-finite month"": 169.065769}"
EST,Estonia,43810.24217912949,43531.191655998664,0.9936304729385002,0.06731567008493493,623.7402839857137,533.5504428149741,1.0,8.0,0.0,50,42,"{""non-finite month"": 279.050523}"
FIN,Finland,303261.8418936879,302869.9067616858,0.9987076015579319,0.07710932682809865,539.0725118051346,449.74747575378274,1.0,8.0,0.0,300,290,"{""non-finite month"": 391.935132}"
FRA,France,547027.0846306175,546709.1159345643,0.9994187331761315,0.005024222224609726,821.9050419270211,807.9069889137861,1.0,8.0,0.0,307,299,"{""non-finite month"": 317.968696}"
