iso3,Country,terrestrial_area_km2,valid_area_km2,missing_area_km2,coverage,passes_0_98,n_support_cells,n_invalid_support_cells,missing_area_both_pre_and_pet_masked_km2,missing_area_pet_masked_pre_valid_km2,missing_area_pre_masked_pet_valid_km2,missing_area_temporal_partial_km2,missing_area_nonpositive_mean_km2,missing_area_masked_all_1500_months_km2,missing_cells_area_weighted_mean_151_country_land_fraction,missing_cells_max_151_country_land_fraction
CRI,Costa Rica,51490.99541275381,51393.1417070956,97.85370565820968,0.9980995957667198,True,29,3,30.311371140864424,67.54233451734525,0,0,0,97.85370565820968,0.01744169254114933,0.022079236637788963
CUB,Cuba,111480.89220313313,110028.72464686206,1452.16755627108,0.9869738434311682,True,89,22,1162.6594291024915,289.5081271685884,0,0,0,1452.16755627108,0.042345470792875435,0.063002402101227
DOM,Dominican Republic,48032.37687363699,48000.24962774315,32.12724589383833,0.999331133539813,True,31,2,0.0,32.12724589383833,0,0,0,32.12724589383833,0.010196717576438145,0.01058679045572365
SLV,El Salvador,21360.307760144136,21357.962042309253,2.345717834883064,0.9998901833315689,True,14,1,2.345717834883064,0.0,0,0,0,2.345717834883064,0.0007796216778954696,0.0007796216778954696
GTM,Guatemala,104897.63499832703,104897.63499832703,0.0,1.0,True,48,0,0.0,0.0,0,0,0,0.0,,
HTI,Haiti,27247.494304700886,27247.494304700886,0.0,1.0,True,20,0,0.0,0.0,0,0,0,0.0,,
HND,Honduras,111051.69085705726,110715.89589697291,335.79496008434035,0.9969762282996972,True,61,11,259.96500699720974,75.82995308713055,0,0,0,335.79496008434035,0.033069280488656615,0.04260189699855588
JAM,Jamaica,11034.236497993465,10990.024929699744,44.21156829371967,0.9959932372029764,True,11,2,0.32712840873290283,43.88443988498677,0,0,0,44.21156829371967,0.014882689291428618,0.014992803490285107
MEX,Mexico,1952540.3467031773,1950804.000236837,1736.3464663402933,0.9991107244112665,True,852,40,1045.3316426829872,691.0148236573065,0,0,0,1736.3464663402933,0.03200410607105659,0.06194672869187834
NIC,Nicaragua,120725.5340314764,120647.03959901063,78.49443246576388,0.9993498108490843,True,62,5,78.49443246576388,0.0,0,0,0,78.49443246576388,0.012717685466395508,0.01598145331628725
PAN,Panama,75970.09424692464,73904.97092042462,2065.1233265000233,0.9728166280827851,False,54,17,1901.144528353764,163.97879814625938,0,0,0,2065.1233265000233,0.08580032884849227,0.12324331712415497
USA,United States,9254174.953779103,9246400.255109418,7774.698669685329,0.9991598712247697,True,4972,168,6610.4638823223495,1164.234787362981,0,0,0,7774.698669685329,0.06110931844205916,0.17730433908691204
AUS,Australia,7699513.320182274,7694226.488389826,5286.831792447773,0.9993133550690029,True,3127,162,1026.7871441751508,4260.044648272623,0,0,0,5286.831792447773,0.03534568458242797,0.09257726854100871
NZL,New Zealand,265218.33784224093,262551.96700033575,2666.370841905211,0.9899465064761427,True,214,49,2421.8733518150116,244.49749009019922,0,0,0,2666.370841905211,0.06846302704932522,0.13977033729074076
PNG,Papua New Guinea,464899.81536786846,461058.5295136292,3841.2858542392587,0.9917373900198267,True,312,95,3536.36365305375,304.9222011855086,0,0,0,3841.2858542392587,0.04506984114655104,0.11575189951220195
ARG,Argentina,2763075.870066645,2762326.054273833,749.8157928119176,0.9997286300383804,True,1209,17,674.7610154143674,75.0547773975502,0,0,0,749.8157928119176,0.045683921719037984,0.07239217174750806
BOL,Bolivia,1080947.4824258336,1080947.4824258336,0.0,1.0,True,396,0,0.0,0.0,0,0,0,0.0,,
BRA,Brazil,8471386.253353005,8467628.676734759,3757.5766182459865,0.9995564389928792,True,2992,44,3520.2621870815155,237.31443116447164,0,0,0,3757.5766182459865,0.08425355884110847,0.15311406172719824
CHL,Chile,753162.0685505872,751085.1283378067,2076.9402127805015,0.9972423727913204,True,475,34,1692.8228923127856,384.11732046771624,0,0,0,2076.9402127805015,0.07312375955387106,0.14286783030823966
COL,Colombia,1140967.155512921,1139567.1068666782,1400.0486462428462,0.9987729281781004,True,428,18,1346.557033517633,53.49161272521303,0,0,0,1400.0486462428462,0.13863906616251692,0.21217034567696158
ECU,Ecuador,256246.8629778858,254770.97453787056,1475.888440015226,0.9942403648463685,True,120,18,1339.7700888355646,136.11835117966166,0,0,0,1475.888440015226,0.08225408032045008,0.1388050858672248
PRY,Paraguay,399107.8322964433,399107.8322964433,0.0,1.0,True,160,0,0.0,0.0,0,0,0,0.0,,
PER,Peru,1288539.540529428,1288474.6244508403,64.91607858777924,0.9999496204217675,True,480,5,41.90354688121864,23.01253170656061,0,0,0,64.91607858777924,0.007007196306865898,0.008910850395860903
SUR,Suriname,144636.72861982623,144634.82700037217,1.9016194540671094,0.9999868524442429,True,57,1,1.9016194540671094,0.0,0,0,0,1.9016194540671094,0.0006188748544742917,0.0006188748544742917
URY,Uruguay,176131.99640793327,176091.00642645077,40.989981482510046,0.9997672769155039,True,82,2,0.04559381124525081,40.94438767126479,0,0,0,40.989981482510046,0.016103362180277452,0.016121274162870604
VEN,Venezuela,906978.7757910959,905648.2503044071,1330.5254866888417,0.9985330136468428,True,357,13,1288.4530356588566,42.07245102998535,0,0,0,1330.5254866888417,0.0710118875911758,0.11043075124163837
