weights,protocol,fit,n_train,n_test,training_boundary_ties,row_sums_exactly_one,logdet_sign_positive_on_grid,logdet_finite_on_grid,spectral_radius,min_real_eigenvalue,training_first_neighbour_km_median,training_eighth_neighbour_km_median,training_eighth_neighbour_km_max,structural_pass,failure,attachment_boundary_ties,attachment_first_km_min,attachment_eighth_km_max,attachment_weights_sum_one
land,buffer_centroid_1500km,ZAF,145,1,0,True,True,True,0.9999999999999987,-0.31628914243449624,470.7601656300599,1444.5188422522847,9213.028207715477,True,,0.0,1701.0059867207347,2924.3088650881073,True
land,buffer_centroid_1500km,SDN,144,1,0,True,True,True,1.0000000000000013,-0.3102020625037949,455.47246562923635,1480.6817372583894,9213.028207715477,True,,0.0,1658.4341708803713,1998.922248968994,True
land,buffer_centroid_1500km,SWZ,145,1,0,True,True,True,0.9999999999999996,-0.3177598771957283,470.7601656300599,1456.4805715253597,9213.028207715477,True,,0.0,1505.8904928851969,2738.1835436806687,True
land,buffer_centroid_1500km,TZA,142,1,0,True,True,True,1.0000000000000033,-0.34259442035925247,458.6210876913442,1483.4822565163167,9213.028207715477,True,,0.0,1514.090816831377,2180.506830043278,True
land,buffer_centroid_1500km,TGO,138,1,0,True,True,True,1.0000000000000016,-0.3367114515561087,474.28949690799504,1560.207171694409,9213.028207715477,True,,0.0,1556.5966665982849,2196.6864495109144,True
land,buffer_centroid_1500km,TUN,136,1,0,True,True,True,1.000000000000001,-0.31950920007457884,479.0782142318579,1538.8044660482253,9213.028207715477,True,,0.0,1525.2925090189713,1870.8685414623624,True
land,buffer_centroid_1500km,UGA,143,1,0,True,True,True,1.0000000000000009,-0.319711381591146,460.6164275967239,1496.8015532655563,9213.028207715477,True,,0.0,1597.2809141473529,2092.112125087287,True
land,buffer_centroid_1500km,ZMB,140,1,0,True,True,True,0.9999999999999986,-0.3185406138707395,456.0491067076004,1463.3217656462184,9213.028207715477,True,,0.0,1505.8904928851969,2275.8036998269326,True
land,buffer_centroid_1500km,ZWE,142,1,0,True,True,True,0.9999999999999989,-0.3214004640931461,456.0491067076004,1450.4997068888222,9213.028207715477,True,,0.0,1514.090816831377,2340.2602806845507,True
land,buffer_centroid_1500km,AFG,145,1,0,True,True,True,1.0000000000000016,-0.31076816836300963,460.6164275967239,1444.2006317897303,9213.028207715477,True,,0.0,1587.966393174854,1996.4640025412118,True
land,buffer_centroid_1500km,ARM,138,1,0,True,True,True,1.0000000000000004,-0.3064063355899151,481.0462035108626,1548.5878761056288,9213.028207715477,True,,0.0,1526.0705390945288,1936.6393304297735,True
land,buffer_centroid_1500km,AZE,138,1,0,True,True,True,1.0000000000000004,-0.33611608160013917,480.0622088713602,1538.8044660482253,9213.028207715477,True,,0.0,1591.8401494037682,1891.6452066690808,True
land,buffer_centroid_1500km,BGD,147,1,0,True,True,True,0.9999999999999999,-0.3281116845608697,456.62574778596445,1439.4627426555778,9213.028207715477,True,,0.0,1504.9849829398265,2462.681849474149,True
land,buffer_centroid_1500km,MMR,145,1,0,True,True,True,1.0000000000000027,-0.3237990386728943,471.8595478205712,1432.8236322949376,9421.341292384812,True,,0.0,1549.291485218015,2951.547135692747,True
land,buffer_centroid_1500km,KHM,145,1,0,True,True,True,1.0000000000000002,-0.3214582822750984,471.8595478205712,1432.8236322949376,9667.748021060428,True,,0.0,1933.955967326727,2877.529485230809,True
land,buffer_centroid_1500km,CHN,149,1,0,True,True,True,1.0000000000000036,-0.3222344157229241,460.6164275967239,1444.2006317897303,9213.028207715477,True,,0.0,1921.8977639991353,2474.9387719510255,True
land,buffer_centroid_1500km,GEO,136,1,0,True,True,True,0.9999999999999963,-0.30433087539795983,487.33165792822274,1560.207171694409,9213.028207715477,True,,0.0,1519.8705556884536,1960.3070467970588,True
land,buffer_centroid_1500km,IND,147,1,0,True,True,True,1.0000000000000009,-0.3208347222911242,456.62574778596445,1439.4627426555778,9213.028207715477,True,,0.0,1634.8062751901575,2627.329255334632,True
land,buffer_centroid_1500km,IDN,149,1,0,True,True,True,0.9999999999999989,-0.3205060004589483,460.6164275967239,1444.2006317897303,9421.341292384812,True,,0.0,1620.441188089678,3233.613256046562,True
land,buffer_centroid_1500km,IRN,138,1,0,True,True,True,1.0000000000000056,-0.31022149719093717,474.28949690799504,1494.001034007629,9213.028207715477,True,,0.0,1505.4630924343996,1983.2702697499362,True
land,buffer_centroid_1500km,IRQ,137,1,0,True,True,True,1.0,-0.3346274994296995,481.0462035108626,1543.8996811072427,9213.028207715477,True,,0.0,1504.4929995555337,2005.9110352156972,True
land,buffer_centroid_1500km,ISR,138,1,0,True,True,True,1.000000000000002,-0.3035083674625533,479.0782142318579,1560.207171694409,9213.028207715477,True,,0.0,1506.8033658298657,1829.3173141905886,True
land,buffer_centroid_1500km,JPN,149,1,0,True,True,True,1.0000000000000007,-0.3203736767932076,460.6164275967239,1444.2006317897303,9213.028207715477,True,,0.0,2029.0301159925932,4198.704636557916,True
land,buffer_centroid_1500km,JOR,138,1,0,True,True,True,1.000000000000002,-0.3035083674625533,479.0782142318579,1560.207171694409,9213.028207715477,True,,0.0,1559.2029370648484,1863.8773067760353,True
land,buffer_centroid_1500km,KAZ,147,1,0,True,True,True,1.0000000000000009,-0.3192379105359583,470.7601656300599,1444.2006317897303,9213.028207715477,True,,0.0,1619.4290328069865,2584.376315986064,True
land,buffer_centroid_1500km,LAO,146,1,0,True,True,True,0.999999999999999,-0.3208601584799091,474.28949690799504,1436.1431874752577,9421.341292384812,True,,0.0,1504.9849829398265,2769.6868903337404,True
land,buffer_centroid_1500km,LBN,137,1,0,True,True,True,0.9999999999999971,-0.3202299518716368,479.0782142318579,1567.1382722848032,9213.028207715477,True,,0.0,1501.6293817646874,1743.4161082796072,True
land,buffer_centroid_1500km,MYS,147,1,0,True,True,True,0.9999999999999972,-0.3219181750143282,476.71944599541894,1439.4627426555778,9667.748021060428,True,,0.0,1522.489407830806,3681.6439798577835,True
land,buffer_centroid_1500km,MNG,149,1,0,True,True,True,1.0000000000000036,-0.3222344157229241,460.6164275967239,1444.2006317897303,9213.028207715477,True,,0.0,2186.8062075746902,3017.792302112606,True
land,buffer_centroid_1500km,NPL,147,1,0,True,True,True,1.0000000000000009,-0.3208347222911242,456.62574778596445,1439.4627426555778,9213.028207715477,True,,0.0,1549.291485218015,2393.1512612800107,True
land,buffer_centroid_1500km,OMN,145,1,0,True,True,True,1.000000000000003,-0.3293513782743729,470.7601656300599,1444.5188422522847,9213.028207715477,True,,0.0,1657.8082406720648,2216.7550548179956,True
land,buffer_centroid_1500km,PAK,143,1,0,True,True,True,0.9999999999999991,-0.3107681683630101,456.62574778596445,1439.4627426555778,9213.028207715477,True,,0.0,1633.5333963058736,2485.0323113063478,True
land,buffer_centroid_1500km,PHL,149,1,0,True,True,True,1.0000000000000047,-0.32013697755089954,460.6164275967239,1444.2006317897303,9421.341292384812,True,,0.0,1620.441188089678,2951.547135692747,True
land,buffer_centroid_1500km,QAT,144,1,0,True,True,True,0.9999999999999988,-0.3252002512374336,465.6882966133919,1450.4997068888222,9213.028207715477,True,,0.0,1559.2029370648484,1761.9028370444216,True
land,buffer_centroid_1500km,SAU,137,1,0,True,True,True,1.0000000000000007,-0.3425012899473193,471.8595478205712,1496.8015532655563,9213.028207715477,True,,0.0,1634.5702488987965,2030.207852200793,True
land,buffer_centroid_1500km,KOR,148,1,0,True,True,True,1.0000000000000016,-0.31983831565906384,458.6210876913442,1441.8316872226542,9362.03692412302,True,,0.0,2123.3761159638143,3564.4858720426914,True
land,buffer_centroid_1500km,LKA,150,1,0,True,True,True,1.0000000000000002,-0.3202343716073777,465.6882966133919,1444.3597370210075,9213.028207715477,True,,0.0,1634.8062751901575,2769.6868903337404,True
land,buffer_centroid_1500km,SYR,137,1,0,True,True,True,0.9999999999999971,-0.3202299518716368,479.0782142318579,1567.1382722848032,9213.028207715477,True,,0.0,1505.4630924343996,1816.8403451493025,True
land,buffer_centroid_1500km,TWN,148,1,0,True,True,True,0.9999999999999978,-0.3185772174293001,458.6210876913442,1441.8316872226542,9421.341292384812,True,,0.0,1722.0602351903788,2527.5893459811373,True
land,buffer_centroid_1500km,TJK,145,1,0,True,True,True,0.9999999999999958,-0.3169271627741593,460.6164275967239,1444.2006317897303,9213.028207715477,True,,0.0,1645.3139872344605,2366.1236243627786,True
land,buffer_centroid_1500km,THA,146,1,0,True,True,True,0.999999999999999,-0.3208601584799091,474.28949690799504,1436.1431874752577,9421.341292384812,True,,0.0,1507.3821901248803,2474.9387719510255,True
land,buffer_centroid_1500km,TUR,131,1,0,True,True,True,0.9999999999999983,-0.3082211984616814,511.94162421580444,1596.7537143522538,9213.028207715477,True,,0.0,1518.5563869638675,1912.386236682325,True
land,buffer_centroid_1500km,TKM,141,1,0,True,True,True,1.0000000000000013,-0.3103450811992371,470.7601656300599,1444.5188422522847,9213.028207715477,True,,0.0,1541.686729681116,2181.6782144188123,True
land,buffer_centroid_1500km,ARE,144,1,0,True,True,True,0.9999999999999988,-0.3252002512374336,465.6882966133919,1450.4997068888222,9213.028207715477,True,,0.0,1587.966393174854,1926.8575291777497,True
land,buffer_centroid_1500km,UZB,143,1,0,True,True,True,1.0,-0.31138101381031424,460.6164275967239,1444.2006317897303,9213.028207715477,True,,0.0,1551.0338932582881,2414.1849588346654,True
land,buffer_centroid_1500km,VNM,145,1,0,True,True,True,1.0000000000000002,-0.3214582822750984,471.8595478205712,1432.8236322949376,9667.748021060428,True,,0.0,1722.0602351903788,2955.0078231122284,True
land,buffer_centroid_1500km,YEM,142,1,0,True,True,True,1.0000000000000024,-0.3158664395603575,458.6210876913442,1441.8316872226542,9213.028207715477,True,,0.0,1874.0991374787118,2309.898997871484,True
land,buffer_centroid_1500km,ALB,128,1,0,True,True,True,0.9999999999999977,-0.315769579706303,532.5835536921303,1611.0510837104248,9213.028207715477,True,,0.0,1512.5255347591326,1704.228496419749,True
land,buffer_centroid_1500km,AUT,122,1,0,True,True,True,1.0000000000000064,-0.32054141841255973,603.8246581241604,1655.3266165409455,9213.028207715477,True,,0.0,1525.2925090189713,2118.3291787908656,True
