weights,family,representation,theta,loglik
station,sem,per_capita,-0.85,292.7190805726444
station,sem,per_capita,-0.84,293.0825324408821
station,sem,per_capita,-0.83,293.4462453298708
station,sem,per_capita,-0.82,293.8102257539067
station,sem,per_capita,-0.81,294.1744802455055
station,sem,per_capita,-0.8,294.53901535502456
station,sem,per_capita,-0.79,294.903837650237
station,sem,per_capita,-0.78,295.26895371585033
station,sem,per_capita,-0.77,295.63437015297103
station,sem,per_capita,-0.76,296.0000935785106
station,sem,per_capita,-0.75,296.3661306245277
station,sem,per_capita,-0.74,296.7324879375073
station,sem,per_capita,-0.73,297.0991721775698
station,sem,per_capita,-0.72,297.4661900176082
station,sem,per_capita,-0.71,297.83354814234957
station,sem,per_capita,-0.7,298.2012532473356
station,sem,per_capita,-0.69,298.56931203782
station,sem,per_capita,-0.6799999999999999,298.93773122757716
station,sem,per_capita,-0.6699999999999999,299.30651753761725
station,sem,per_capita,-0.6599999999999999,299.67567769480445
station,sem,per_capita,-0.6499999999999999,300.0452184303716
station,sem,per_capita,-0.6399999999999999,300.41514647832776
station,sem,per_capita,-0.63,300.7854685737525
station,sem,per_capita,-0.62,301.1561914509703
station,sem,per_capita,-0.61,301.52732184160084
station,sem,per_capita,-0.6,301.89886647247874
station,sem,per_capita,-0.59,302.27083206343383
station,sem,per_capita,-0.58,302.64322532492906
station,sem,per_capita,-0.5700000000000001,303.0160529555456
station,sem,per_capita,-0.56,303.38932163930946
station,sem,per_capita,-0.55,303.7630380428508
station,sem,per_capita,-0.54,304.1372088123896
station,sem,per_capita,-0.53,304.5118405705357
station,sem,per_capita,-0.52,304.886939912899
station,sem,per_capita,-0.51,305.26251340449534
station,sem,per_capita,-0.5,305.6385675759424
station,sem,per_capita,-0.49,306.0151089194337
station,sem,per_capita,-0.48,306.3921438844789
station,sem,per_capita,-0.47,306.7696788734017
station,sem,per_capita,-0.45999999999999996,307.1477202365808
station,sem,per_capita,-0.44999999999999996,307.52627426742424
station,sem,per_capita,-0.43999999999999995,307.90534719706216
station,sem,per_capita,-0.42999999999999994,308.2849451887448
station,sem,per_capita,-0.41999999999999993,308.6650743319337
station,sem,per_capita,-0.41000000000000003,309.04574063606805
station,sem,per_capita,-0.4,309.4269500239929
station,sem,per_capita,-0.39,309.80870832503285
station,sem,per_capita,-0.38,310.19102126769303
station,sem,per_capita,-0.37,310.57389447197096
station,sem,per_capita,-0.36,310.9573334412598
station,sem,per_capita,-0.35,311.3413435538241
station,sem,per_capita,-0.33999999999999997,311.72593005382674
station,sem,per_capita,-0.32999999999999996,312.11109804188715
station,sem,per_capita,-0.31999999999999995,312.49685246514645
station,sem,per_capita,-0.30999999999999994,312.8831981068182
station,sem,per_capita,-0.29999999999999993,313.2701395751992
station,sem,per_capita,-0.2899999999999999,313.65768129211403
station,sem,per_capita,-0.28,314.0458274807677
station,sem,per_capita,-0.27,314.43458215297784
station,sem,per_capita,-0.26,314.82394909575663
station,sem,per_capita,-0.25,315.213931857212
station,sem,per_capita,-0.24,315.6045337317366
station,sem,per_capita,-0.22999999999999998,315.9957577444482
station,sem,per_capita,-0.21999999999999997,316.38760663485004
station,sem,per_capita,-0.20999999999999996,316.78008283967114
station,sem,per_capita,-0.19999999999999996,317.1731884748488
station,sem,per_capita,-0.18999999999999995,317.566925316613
station,sem,per_capita,-0.17999999999999994,317.96129478163164
station,sem,per_capita,-0.16999999999999993,318.35629790616883
station,sem,per_capita,-0.15999999999999992,318.7519353242143
station,sem,per_capita,-0.15000000000000002,319.1482072445317
station,sem,per_capita,-0.14,319.5451134265786
station,sem,per_capita,-0.13,319.94265315524154
station,sem,per_capita,-0.12,320.3408252143345
station,sem,per_capita,-0.10999999999999999,320.7396278587999
station,sem,per_capita,-0.09999999999999998,321.13905878555414
station,sem,per_capita,-0.08999999999999997,321.5391151029122
station,sem,per_capita,-0.07999999999999996,321.9397932985267
station,sem,per_capita,-0.06999999999999995,322.34108920577256
station,sem,per_capita,-0.05999999999999994,322.74299796850374
station,sem,per_capita,-0.04999999999999993,323.145514004109
station,sem,per_capita,-0.039999999999999925,323.54863096478493
station,sem,per_capita,-0.030000000000000027,323.9523416969477
station,sem,per_capita,-0.020000000000000018,324.35663819869535
station,sem,per_capita,-0.010000000000000009,324.7615115752309
station,sem,per_capita,0.0,325.16695199215496
station,sem,per_capita,0.010000000000000009,325.5729486265287
station,sem,per_capita,0.020000000000000018,325.9794896156049
station,sem,per_capita,0.030000000000000027,326.38656200312204
station,sem,per_capita,0.040000000000000036,326.7941516830506
station,sem,per_capita,0.050000000000000044,327.20224334067456
station,sem,per_capita,0.06000000000000005,327.61082039088916
station,sem,per_capita,0.07000000000000006,328.01986491358576
station,sem,per_capita,0.08000000000000007,328.42935758599805
station,sem,per_capita,0.09000000000000008,328.8392776118658
station,sem,per_capita,0.10000000000000009,329.2496026472781
