representation,model,iso3,column,group,value
primary_total_co2,M0star,TUN,cum_co2_total,emissions,2.860352382977959
primary_total_co2,M0star,UGA,cum_co2_total,emissions,1.849603658082447
primary_total_co2,M0star,ZMB,cum_co2_total,emissions,2.311622493590024
primary_total_co2,M0star,ZWE,cum_co2_total,emissions,2.8506235704226546
primary_total_co2,M0star,AFG,cum_co2_total,emissions,2.125627632431824
primary_total_co2,M0star,ARM,cum_co2_total,emissions,2.5264194076693554
primary_total_co2,M0star,AZE,cum_co2_total,emissions,3.347929220926045
primary_total_co2,M0star,BGD,cum_co2_total,emissions,2.9989150812680263
primary_total_co2,M0star,MMR,cum_co2_total,emissions,2.622057482903641
primary_total_co2,M0star,KHM,cum_co2_total,emissions,1.8779469516291882
primary_total_co2,M0star,CHN,cum_co2_total,emissions,5.2203453285371095
primary_total_co2,M0star,GEO,cum_co2_total,emissions,2.737348515312523
primary_total_co2,M0star,IND,cum_co2_total,emissions,4.574287333317938
primary_total_co2,M0star,IDN,cum_co2_total,emissions,4.016639414288195
primary_total_co2,M0star,IRN,cum_co2_total,emissions,4.143544597437826
primary_total_co2,M0star,IRQ,cum_co2_total,emissions,3.522151475149211
primary_total_co2,M0star,ISR,cum_co2_total,emissions,3.2915803953637948
primary_total_co2,M0star,JPN,cum_co2_total,emissions,4.759160572052175
primary_total_co2,M0star,JOR,cum_co2_total,emissions,2.724133266493241
primary_total_co2,M0star,KAZ,cum_co2_total,emissions,4.068777843198626
primary_total_co2,M0star,LAO,cum_co2_total,emissions,1.6370391905594046
primary_total_co2,M0star,LBN,cum_co2_total,emissions,2.7404061167711067
primary_total_co2,M0star,MYS,cum_co2_total,emissions,3.6186175385162955
primary_total_co2,M0star,MNG,cum_co2_total,emissions,2.65183022495331
primary_total_co2,M0star,NPL,cum_co2_total,emissions,1.9161959273164775
primary_total_co2,M0star,OMN,cum_co2_total,emissions,2.942814347323048
primary_total_co2,M0star,PAK,cum_co2_total,emissions,3.5591156807001605
primary_total_co2,M0star,PHL,cum_co2_total,emissions,3.3940524017243976
primary_total_co2,M0star,QAT,cum_co2_total,emissions,3.1596195219644674
primary_total_co2,M0star,SAU,cum_co2_total,emissions,4.071106541396464
primary_total_co2,M0star,KOR,cum_co2_total,emissions,4.141193730729231
primary_total_co2,M0star,LKA,cum_co2_total,emissions,2.539406087407612
primary_total_co2,M0star,SYR,cum_co2_total,emissions,3.2307574163343005
primary_total_co2,M0star,TWN,cum_co2_total,emissions,3.8484451212621322
primary_total_co2,M0star,TJK,cum_co2_total,emissions,2.631299656749231
primary_total_co2,M0star,THA,cum_co2_total,emissions,3.722389233958953
primary_total_co2,M0star,TUR,cum_co2_total,emissions,3.9110897682421775
primary_total_co2,M0star,TKM,cum_co2_total,emissions,3.286466799275726
primary_total_co2,M0star,ARE,cum_co2_total,emissions,3.5422220978279344
primary_total_co2,M0star,UZB,cum_co2_total,emissions,3.740226378600022
primary_total_co2,M0star,VNM,cum_co2_total,emissions,3.4003927397934803
primary_total_co2,M0star,YEM,cum_co2_total,emissions,2.7579514489334294
primary_total_co2,M0star,ALB,cum_co2_total,emissions,2.4044163198319484
primary_total_co2,M0star,AUT,cum_co2_total,emissions,3.7028734804303647
primary_total_co2,M0star,BLR,cum_co2_total,emissions,3.65620096329467
primary_total_co2,M0star,BEL,cum_co2_total,emissions,4.074207929148208
primary_total_co2,M0star,BIH,cum_co2_total,emissions,2.9121109437313133
primary_total_co2,M0star,BGR,cum_co2_total,emissions,3.5465947263435624
primary_total_co2,M0star,HRV,cum_co2_total,emissions,2.9948224354771575
primary_total_co2,M0star,CYP,cum_co2_total,emissions,2.385234372629354
primary_total_co2,M0star,CZE,cum_co2_total,emissions,4.051487436992587
primary_total_co2,M0star,DNK,cum_co2_total,emissions,3.584968626410202
primary_total_co2,M0star,EST,cum_co2_total,emissions,3.1815995144469498
primary_total_co2,M0star,FIN,cum_co2_total,emissions,3.4593056201758023
primary_total_co2,M0star,FRA,cum_co2_total,emissions,4.564143069555475
primary_total_co2,M0star,DEU,cum_co2_total,emissions,4.941179214423491
primary_total_co2,M0star,GRC,cum_co2_total,emissions,3.554299773590582
primary_total_co2,M0star,HUN,cum_co2_total,emissions,3.670026516102076
primary_total_co2,M0star,ISL,cum_co2_total,emissions,2.1226581417244548
primary_total_co2,M0star,IRL,cum_co2_total,emissions,3.292088525456098
primary_total_co2,M0star,ITA,cum_co2_total,emissions,4.348362466540707
primary_total_co2,M0star,LVA,cum_co2_total,emissions,2.95546597746838
primary_total_co2,M0star,LTU,cum_co2_total,emissions,3.1659961947467217
primary_total_co2,M0star,MKD,cum_co2_total,emissions,2.66401169742383
primary_total_co2,M0star,MDA,cum_co2_total,emissions,3.114407798967798
primary_total_co2,M0star,MNE,cum_co2_total,emissions,1.9854354562958416
primary_total_co2,M0star,NLD,cum_co2_total,emissions,4.028000561404352
primary_total_co2,M0star,NOR,cum_co2_total,emissions,3.365737632451197
primary_total_co2,M0star,POL,cum_co2_total,emissions,4.408328121536703
primary_total_co2,M0star,PRT,cum_co2_total,emissions,3.3554743166359864
primary_total_co2,M0star,ROU,cum_co2_total,emissions,3.9047562686177564
primary_total_co2,M0star,RUS,cum_co2_total,emissions,5.018431743654664
primary_total_co2,M0star,SRB,cum_co2_total,emissions,3.3883220243247285
primary_total_co2,M0star,SVK,cum_co2_total,emissions,3.563601389660313
primary_total_co2,M0star,SVN,cum_co2_total,emissions,2.8825319374046425
primary_total_co2,M0star,ESP,cum_co2_total,emissions,4.114393849431578
primary_total_co2,M0star,SWE,cum_co2_total,emissions,3.671472300781437
primary_total_co2,M0star,CHE,cum_co2_total,emissions,3.4411607740351156
primary_total_co2,M0star,UKR,cum_co2_total,emissions,4.462410831860048
primary_total_co2,M0star,GBR,cum_co2_total,emissions,4.8813071445534755
primary_total_co2,M0star,BHS,cum_co2_total,emissions,2.184006806706364
primary_total_co2,M0star,CAN,cum_co2_total,emissions,4.470610170539815
primary_total_co2,M0star,CRI,cum_co2_total,emissions,2.3002497365767445
primary_total_co2,M0star,CUB,cum_co2_total,emissions,3.188876758878359
primary_total_co2,M0star,DOM,cum_co2_total,emissions,2.757288960487825
primary_total_co2,M0star,SLV,cum_co2_total,emissions,2.2707766287166797
primary_total_co2,M0star,GTM,cum_co2_total,emissions,2.5052924578225153
primary_total_co2,M0star,HTI,cum_co2_total,emissions,1.7433607934204063
primary_total_co2,M0star,HND,cum_co2_total,emissions,2.2806284433649813
primary_total_co2,M0star,JAM,cum_co2_total,emissions,2.5994441911398924
primary_total_co2,M0star,MEX,cum_co2_total,emissions,4.228494394324438
primary_total_co2,M0star,NIC,cum_co2_total,emissions,2.147224794264175
primary_total_co2,M0star,PAN,cum_co2_total,emissions,2.386646974996053
primary_total_co2,M0star,USA,cum_co2_total,emissions,5.5778831296115685
primary_total_co2,M0star,AUS,cum_co2_total,emissions,4.194557269700958
primary_total_co2,M0star,NZL,cum_co2_total,emissions,3.2133145074380933
primary_total_co2,M0star,PNG,cum_co2_total,emissions,2.105820041248875
primary_total_co2,M0star,ARG,cum_co2_total,emissions,3.853889891627958
primary_total_co2,M0star,BOL,cum_co2_total,emissions,2.59762389436399
primary_total_co2,M0star,BRA,cum_co2_total,emissions,4.106532926741018
primary_total_co2,M0star,CHL,cum_co2_total,emissions,3.382880088098228
primary_total_co2,M0star,COL,cum_co2_total,emissions,3.4449867238971104
primary_total_co2,M0star,ECU,cum_co2_total,emissions,2.975767165739055
primary_total_co2,M0star,PRY,cum_co2_total,emissions,2.1016955327771023
primary_total_co2,M0star,PER,cum_co2_total,emissions,3.1854928583581406
primary_total_co2,M0star,SUR,cum_co2_total,emissions,1.9935508514775335
primary_total_co2,M0star,URY,cum_co2_total,emissions,2.6023638911127747
primary_total_co2,M0star,VEN,cum_co2_total,emissions,3.813967945294808
primary_total_co2,M0star,DZA,abs_latitude,geography,35.206
primary_total_co2,M0star,AGO,abs_latitude,geography,12.32
primary_total_co2,M0star,BEN,abs_latitude,geography,8.571666666666667
primary_total_co2,M0star,BWA,abs_latitude,geography,24.92
primary_total_co2,M0star,BFA,abs_latitude,geography,11.25
primary_total_co2,M0star,BDI,abs_latitude,geography,4.02
primary_total_co2,M0star,CMR,abs_latitude,geography,6.484666666666667
primary_total_co2,M0star,CAF,abs_latitude,geography,4.02
primary_total_co2,M0star,TCD,abs_latitude,geography,8.84
primary_total_co2,M0star,COG,abs_latitude,geography,4.02
primary_total_co2,M0star,COD,abs_latitude,geography,4.717826086956522
primary_total_co2,M0star,CIV,abs_latitude,geography,6.492307692307692
primary_total_co2,M0star,DJI,abs_latitude,geography,12.05
primary_total_co2,M0star,EGY,abs_latitude,geography,29.316842105263156
primary_total_co2,M0star,GNQ,abs_latitude,geography,3.215
primary_total_co2,M0star,ERI,abs_latitude,geography,15.27
primary_total_co2,M0star,ETH,abs_latitude,geography,9.553333333333335
primary_total_co2,M0star,GAB,abs_latitude,geography,0.8
primary_total_co2,M0star,GHA,abs_latitude,geography,6.164444444444444
primary_total_co2,M0star,GIN,abs_latitude,geography,9.2425
primary_total_co2,M0star,GNB,abs_latitude,geography,12.05
primary_total_co2,M0star,KEN,abs_latitude,geography,1.3366666666666667
primary_total_co2,M0star,LSO,abs_latitude,geography,29.74
primary_total_co2,M0star,LBR,abs_latitude,geography,7.23
primary_total_co2,M0star,LBY,abs_latitude,geography,31.827000000000005
primary_total_co2,M0star,MDG,abs_latitude,geography,19.555
primary_total_co2,M0star,MWI,abs_latitude,geography,14.465
primary_total_co2,M0star,MLI,abs_latitude,geography,12.589999999999998
primary_total_co2,M0star,MRT,abs_latitude,geography,18.48
primary_total_co2,M0star,MAR,abs_latitude,geography,33.757
primary_total_co2,M0star,MOZ,abs_latitude,geography,19.420833333333334
primary_total_co2,M0star,NAM,abs_latitude,geography,23.31
primary_total_co2,M0star,NER,abs_latitude,geography,13.660000000000002
primary_total_co2,M0star,NGA,abs_latitude,geography,8.044835164835165
primary_total_co2,M0star,RWA,abs_latitude,geography,2.41
primary_total_co2,M0star,SEN,abs_latitude,geography,14.665
primary_total_co2,M0star,SLE,abs_latitude,geography,8.84
primary_total_co2,M0star,SOM,abs_latitude,geography,4.66
primary_total_co2,M0star,ZAF,abs_latitude,geography,28.1294
primary_total_co2,M0star,SDN,abs_latitude,geography,12.053999999999998
primary_total_co2,M0star,SWZ,abs_latitude,geography,26.52
primary_total_co2,M0star,TZA,abs_latitude,geography,5.726875
primary_total_co2,M0star,TGO,abs_latitude,geography,8.035
primary_total_co2,M0star,TUN,abs_latitude,geography,35.525999999999996
primary_total_co2,M0star,UGA,abs_latitude,geography,1.8733333333333333
primary_total_co2,M0star,ZMB,abs_latitude,geography,13.86
primary_total_co2,M0star,ZWE,abs_latitude,geography,18.94
primary_total_co2,M0star,AFG,abs_latitude,geography,34.158750000000005
primary_total_co2,M0star,ARM,abs_latitude,geography,40.99
primary_total_co2,M0star,AZE,abs_latitude,geography,40.99
primary_total_co2,M0star,BGD,abs_latitude,geography,24.072105263157894
primary_total_co2,M0star,MMR,abs_latitude,geography,18.803
