iso3,Country,total_land_area_km2,native_valid_area_km2,harmonized_area_km2,unresolved_area_km2,unresolved_structural_area_km2,non_structural_invalid_area_km2,native_fraction,harmonized_fraction,unresolved_fraction,coverage,n_cru_cells,n_native_cells,n_harmonized_cells,n_unresolved_cells,n_non_structural_invalid_cells,n_cross_border_cells,cross_border_area_km2,mean_donor_distance_km,area_weighted_mean_donor_distance_km,max_donor_distance_km,c2_native_support_only,c2_harmonized,delta_c2_harmonization,p_bar_native_area_mean_mm_yr,e_bar_native_area_mean_mm_yr,pre_station_supported_share,pre_mean_station_count,pre_pure_climatology_share
JOR,Jordan,86155.66690495024,86155.66690495024,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,43,43,0,0,0,0,0.0,NA,NA,NA,-1.258017536526211,-1.258017536526211,0.0,125.10996756042002,1896.342541502819,0.9772327437164277,6.528112226927746,0.0
KAZ,Kazakhstan,2641278.198891676,2638585.379534244,2692.8193574317693,0.0,0.0,0.0,0.9989804862817699,0.0010195137182299543,0.0,1.0,1402,1390,12,0,0,2,617.6323795881734,44.7120665144864,44.08246302762823,55.585420533383605,-0.6442971728973248,-0.6445281131697548,-0.00023094027242998028,239.59104923583732,999.3235265469754,0.9922661759272814,6.944045056906224,0.0
LAO,Laos,230512.62345037505,230512.62345037505,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,98,98,0,0,0,0,0.0,NA,NA,NA,0.16228199007175143,0.16228199007175143,0.0,1723.2136130600925,1181.9690678584736,1.0,7.504174823689537,0.0
LBN,Lebanon,10045.025840654696,10045.025840654696,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8,8,0,0,0,0,0.0,NA,NA,NA,-0.2537877927356001,-0.2537877927356001,0.0,728.4684353318002,1305.7634707987534,1.0,7.491870951527859,0.0
MYS,Malaysia,330713.55186486396,329014.8862319238,1698.6656329400494,0.0,0.0,0.0,0.9948636346367982,0.005136365363201559,0.0,1.0,164,146,18,0,0,0,0.0,56.616005950804634,55.54996363920983,78.42819879886696,0.4212627534642557,0.42123210636353337,-3.0647100722314136e-05,3039.4210273084504,1139.2546500727203,0.9930709998647368,5.880856197162816,0.0
MNG,Mongolia,1549501.6943611458,1549501.6943611458,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,784,784,0,0,0,0,0.0,NA,NA,NA,-0.6066728988395625,-0.6066728988395625,0.0,226.82905692172528,810.4585315925353,0.6890495858191119,3.1524506813247704,0.0
NPL,Nepal,143584.1935917943,143584.1935917943,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,65,65,0,0,0,0,0.0,NA,NA,NA,0.07756874036152775,0.07756874036152775,0.0,1384.5082892947605,996.2841204780759,0.9985760576204895,4.284339625705254,0.0
OMN,Oman,311210.7174326561,310803.6585549383,407.05887771778924,0.0,0.0,0.0,0.9986920152330361,0.0013079847669637986,0.0,1.0,143,135,8,0,0,0,0.0,52.45366477447109,52.54607729023251,55.33737947233468,-1.5522728923735496,-1.5518437859479248,0.0004291064256247701,56.709760056364324,1866.4326691000942,0.5100138172189991,0.5913582909246478,0.0
PAK,Pakistan,879331.2324353191,879284.7616479036,46.47078741556941,0.0,0.0,0.0,0.9999471521245904,5.284787540966556e-05,0.0,1.0,375,374,1,0,0,0,0.0,50.97366034195096,50.97366034195096,50.97366034195096,-0.8160693012583196,-0.8160707558087908,-1.4545504712915047e-06,281.0297936784739,1550.7042028925684,0.9392849166729693,4.043325296253134,0.0
PHL,Philippines,296328.01390719955,289237.1175736568,6651.213391087156,439.68294245557775,439.68294245557775,0.0,0.9760707864233066,0.022445442479056683,0.0014837710976366627,0.9985162289023631,269,189,66,14,0,3,154.55069223387306,56.80403204309053,55.322930282793976,78.20488031121799,0.34045597674474565,0.3405614045385461,0.00010542779380046108,2641.539711049416,1183.371644916098,0.8195526709252088,6.194082522833399,0.0
QAT,Qatar,11392.419132409688,11392.419132409688,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10,10,0,0,0,0,0.0,NA,NA,NA,-1.465321596828846,-1.465321596828846,0.0,72.91953587613831,2116.526493504566,0.6713827010002287,0.9284322054646413,0.0
SAU,Saudi Arabia,1913198.1630730159,1911876.6363022565,1320.6018026625402,0.9249680972587251,0.9249680972587251,0.0,0.9993092577672996,0.000690258765741947,4.834669586829539e-07,0.9999995165330414,746,725,20,1,0,1,1.1706814370311893,54.1348120792,51.891322945981734,76.8846348362,-1.387253239703704,-1.3872880374551892,-3.4797751485182715e-05,103.47891453777133,2242.4309997617293,0.2759853886802543,0.7169653571620621,0.399334125542019
KOR,South Korea,98071.79394883121,97126.25067465517,795.5244851260528,150.01878904998597,150.01878904998597,0.0,0.9903586624032861,0.008111654259542925,0.00152968333717091,0.998470316662829,74,57,13,4,0,1,67.17798209213535,46.83570892753008,45.94105614776422,55.493519319463516,0.1746544316715484,0.17455528174673104,-9.91499248173544e-05,1227.7544807276786,818.5833079969447,1.0,7.992165037431129,0.0
LKA,Sri Lanka,66241.20320277511,66058.1974045986,183.00579817651376,0.0,0.0,0.0,0.9972372814905505,0.002762718509449522,0.0,1.0,37,33,4,0,0,1,142.43770224899458,55.04589215641505,54.97008832143252,55.294256590197726,0.074532536214906,0.07393631005135883,-0.000596226163547181,1775.6284951898238,1464.4960487935311,1.0,7.902768776249198,0.0
SYR,Syria,186304.8916848154,186304.8916848154,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,89,89,0,0,0,0,0.0,NA,NA,NA,-0.796617529834009,-0.796617529834009,0.0,308.56292031784614,1719.7594489152866,0.9521158685437193,6.436637406887523,0.0
