iso3,Country,m49_subregion,observed,C0_cv_prediction,M1a_cv_prediction,C0_abs_error,M1a_abs_error,C0_unseen_levels,M1a_unseen_levels,abs_error_change,pair
CHE,Switzerland,Western Europe,0.20255138935875544,0.19973187051640945,0.1884641377217906,0.0028195188423459916,0.014087251636964837,0,0,0.011267732794618845,primary
UKR,Ukraine,Eastern Europe,0.17767865721146503,0.21628757784750396,0.2079844175375335,0.038608920636038935,0.030305760326068465,0,0,-0.00830316030997047,primary
GBR,United Kingdom,Northern Europe,0.16309409461298247,0.17324478239507207,0.1645756215795809,0.010150687782089607,0.0014815269665984232,0,0,-0.008669160815491184,primary
BHS,Bahamas,Caribbean,0.13991083211606994,0.13276138919579752,0.141617355585263,0.00714944292027242,0.0017065234691930609,0,0,-0.005442919451079359,primary
CAN,Canada,Northern America,0.2521930060529909,0.1658474375433967,0.15559188701204457,0.08634556850959418,0.09660111904094631,0,0,0.010255550531352131,primary
CRI,Costa Rica,Central America,0.10130466192673268,0.13183365111640802,0.12105377914717907,0.030528989189675337,0.019749117220446394,0,0,-0.010779871969228944,primary
CUB,Cuba,Caribbean,0.12305617676307766,0.11461085916408306,0.11552634762677687,0.008445317598994598,0.007529829136300792,0,0,-0.0009154884626938059,primary
DOM,Dominican Republic,Caribbean,0.15478420047944152,0.09319231787767449,0.0899348180924878,0.06159188260176704,0.06484938238695373,0,0,0.0032574997851866905,primary
SLV,El Salvador,Central America,0.06948090854064985,0.127627061056638,0.12421420937744704,0.05814615251598816,0.054733300836797186,0,0,-0.0034128516791909758,primary
GTM,Guatemala,Central America,0.0508136158223582,0.10952093820024997,0.11373854451906179,0.058707322377891766,0.06292492869670359,0,0,0.004217606318811823,primary
HTI,Haiti,Caribbean,0.14216341234840274,0.08283511795503251,0.07996817433914677,0.05932829439337023,0.06219523800925597,0,0,0.002866943615885742,primary
HND,Honduras,Central America,0.08078933014247122,0.1395398889211115,0.13947734329854308,0.05875055877864027,0.05868801315607186,0,0,-6.254562256841067e-05,primary
JAM,Jamaica,Caribbean,0.12861876139008294,0.10361118635722988,0.10541422543783863,0.025007575032853058,0.02320453595224431,0,0,-0.0018030390806087482,primary
MEX,Mexico,Central America,0.04065719593311795,0.14001283609742,0.14925270000565152,0.09935564016430204,0.10859550407253357,0,0,0.009239863908231533,primary
NIC,Nicaragua,Central America,0.09228609649696132,0.13514554312537988,0.13727723120631274,0.04285944662841856,0.04499113470935143,0,0,0.002131688080932864,primary
PAN,Panama,Central America,0.12161241121300685,0.12156035602848211,0.11521348149031013,5.205518452473801e-05,0.0063989297226967196,0,0,0.0063468745381719816,primary
USA,United States,Northern America,0.1695001197237513,0.1432592585165796,0.14884188130175457,0.0262408612071717,0.02065823842199674,0,0,-0.005582622785174962,primary
AUS,Australia,Australia and New Zealand,0.16302097420962694,0.09852332523473212,0.11295152507572764,0.06449764897489482,0.050069449133899296,0,0,-0.014428199840995526,primary
NZL,New Zealand,Australia and New Zealand,0.10027093962176431,0.1726252173985579,0.16473183904254113,0.0723542777767936,0.06446089942077682,0,0,-0.007893378356016778,primary
PNG,Papua New Guinea,Melanesia,0.13861753573076713,0.05346630747966491,0.05095680578347023,0.08515122825110222,0.0876607299472969,0,0,0.0025095016961946826,primary
ARG,Argentina,South America,0.10866574248962382,0.17395208184274652,0.15713489082789728,0.0652863393531227,0.048469148338273454,0,0,-0.016817191014849242,primary
BOL,Bolivia,South America,0.10781469285053756,0.11771807123849515,0.16157429274323695,0.009903378387957587,0.05375959989269939,0,0,0.043856221504741805,primary
BRA,Brazil,South America,0.16469595530453246,0.049961404264936435,0.049943110169015204,0.11473455103959602,0.11475284513551726,0,0,1.8294095921231324e-05,primary
