iso3,Country,m49_subregion,observed,C0_cv_prediction,M1a_cv_prediction,C0_abs_error,M1a_abs_error,C0_unseen_levels,M1a_unseen_levels,abs_error_change,pair
CHL,Chile,South America,0.0993071522959073,0.15904743551291964,0.17714124432880302,0.059740283217012344,0.07783409203289572,0,0,0.018093808815883378,primary
COL,Colombia,South America,0.13225011394627992,0.1158159422274366,0.1074589373548559,0.016434171718843316,0.02479117659142402,0,0,0.008357004872580703,primary
ECU,Ecuador,South America,0.12529387656573873,0.08646846417557358,0.0782348473858514,0.038825412390165154,0.04705902917988733,0,0,0.008233616789722176,primary
PRY,Paraguay,South America,0.12268222549728672,0.1619821938841921,0.15089217524526283,0.03929996838690539,0.02820994974797611,0,0,-0.011090018638929278,primary
PER,Peru,South America,0.10234701745272959,0.10302024992885347,0.10482219529971792,0.0006732324761238861,0.0024751778469883357,0,0,0.0018019453708644495,primary
SUR,Suriname,South America,0.14991778270906336,0.1204663309607661,0.12912156921194945,0.02945145174829726,0.020796213497113913,0,0,-0.008655238251183348,primary
URY,Uruguay,South America,0.1340604374132053,0.1311814031719023,0.11729972711058076,0.002879034241303008,0.01676071030262455,0,0,0.01388167606132154,primary
VEN,Venezuela,South America,0.14209795456206648,0.11841956725638353,0.11808870753082969,0.023678387305682946,0.02400924703123679,0,0,0.000330859725553842,primary
DZA,Algeria,Northern Africa,0.24027005915767902,0.1983889452685773,0.2361739171236057,0.041881113889101707,0.0040961420340733246,0,0,-0.03778497185502838,percapita_sensitivity
AGO,Angola,Middle Africa,0.2003000150757142,0.1541138759675609,0.1934948020365285,0.04618613910815331,0.006805213039185715,0,0,-0.03938092606896759,percapita_sensitivity
BEN,Benin,Western Africa,0.20270211677173233,0.18742796992949823,0.19083858706050594,0.015274146842234104,0.011863529711226395,0,0,-0.0034106171310077094,percapita_sensitivity
BWA,Botswana,Southern Africa,0.15541865895509172,0.23711897360096426,0.2256153093616698,0.08170031464587255,0.07019665040657808,0,0,-0.01150366423929447,percapita_sensitivity
BFA,Burkina Faso,Western Africa,0.2158731392585228,0.2140700654868205,0.2157368712386672,0.0018030737717023015,0.0001362680198556121,0,0,-0.0016668057518466894,percapita_sensitivity
BDI,Burundi,Eastern Africa,0.20888549627683978,0.17588459483611665,0.1772217341491452,0.033000901440723124,0.03166376212769459,0,0,-0.0013371393130285347,percapita_sensitivity
CMR,Cameroon,Middle Africa,0.16636200134979467,0.20659232281290124,0.2016312151404277,0.040230321463106566,0.035269213790633025,0,0,-0.0049611076724735415,percapita_sensitivity
CAF,Central African Republic,Middle Africa,0.18403786064638777,0.24289375188984924,0.2656558730993722,0.05885589124346147,0.08161801245298445,0,0,0.02276212120952298,percapita_sensitivity
TCD,Chad,Middle Africa,0.2035091414222523,0.2423828161505016,0.27012400448591906,0.03887367472824932,0.06661486306366676,0,0,0.027741188335417444,percapita_sensitivity
COG,Congo,Middle Africa,0.1704220858831212,0.17725436022096425,0.18502094997785684,0.006832274337843058,0.014598864094735653,0,0,0.0077665897568925946,percapita_sensitivity
COD,Congo (Democratic Republic Of The),Middle Africa,0.19859794898946587,0.20041938148241517,0.2142544873112429,0.0018214324929493042,0.015656538321777047,0,0,0.013835105828827743,percapita_sensitivity
CIV,Côte D'Ivoire,Western Africa,0.20772847580142792,0.1806248056147861,0.18167960099730565,0.02710367018664181,0.02604887480412227,0,0,-0.001054795382519541,percapita_sensitivity
DJI,Djibouti,Eastern Africa,0.20035987264449803,0.19503260138462533,0.18632488063616157,0.005327271259872701,0.014034992008336467,0,0,0.008707720748463765,percapita_sensitivity
EGY,Egypt,Northern Africa,0.15478518959618381,0.2473005893458453,0.2277596839239578,0.0925153997496615,0.07297449432777398,0,0,-0.019540905421887522,percapita_sensitivity
GNQ,Equatorial Guinea,Middle Africa,0.16354706521210607,0.1994092316724186,0.19760162534832026,0.03586216646031254,0.03405456013621419,0,0,-0.0018076063240983486,percapita_sensitivity
ERI,Eritrea,Eastern Africa,0.20315322405399622,0.21023218141899402,0.19730200593092972,0.007078957364997807,0.005851218123066493,0,0,-0.0012277392419313138,percapita_sensitivity
ETH,Ethiopia,Eastern Africa,0.2076992707889047,0.20920127263702412,0.18955053834105892,0.0015020018481194108,0.01814873244784579,0,0,0.016646730599726378,percapita_sensitivity
GAB,Gabon,Middle Africa,0.16553931693258667,0.20233647607919833,0.1804478868953979,0.03679715914661166,0.01490856996281123,0,0,-0.021888589183800433,percapita_sensitivity
