iso3,Country,terrestrial_area_km2,elevation_original_coverage,elevation_coverage,elevation_completed_area_km2,elevation_unresolved_area_km2,elevation_original_centre_only,elevation,elevation_change_vs_original,elevation_s1_completed_at_0m,elevation_s2_unresolved_at_0m,elevation_s3_ring2_completion,elevation_s3_coverage,elevation_s4_unresolved_at_completed_min,elevation_s4_unresolved_at_completed_max,s1_completed_at_0m_minus_primary,s2_unresolved_at_0m_minus_primary,s3_ring2_completion_minus_primary,s4_unresolved_at_completed_min_minus_primary,s4_unresolved_at_completed_max_minus_primary
KHM,Cambodia,176115.2807326327,0.9959177572764456,0.9999513752321704,710.3817586406624,8.563564636668506,123.1620801327417,122.7534915424808,-0.4085885902609192,122.66526719744024,122.74752268245427,122.749470508607,0.9999901937998076,122.74664439758536,122.75475542165825,-0.0882243450405582,-0.005968860026527523,-0.004021033873797819,-0.006847144895445467,0.0012638791774435276
CHN,China,9314818.08173293,0.9989501908843536,0.9999723032025164,9520.790302785705,257.99063000850737,1829.0466435350136,1828.1656358892185,-0.8810076457953073,1827.177100649811,1828.1150015558344,1828.135788982977,0.9999898703654526,1828.1107583266696,1828.2751370548765,-0.9885352394073834,-0.05063433338409595,-0.02984690624157338,-0.05487756254888154,0.10950116565800272
GEO,Georgia,69286.78068559724,0.99884372440077,1.000000000000005,80.11461385630712,0.0,1239.5388294943834,1238.412786845219,-1.1260426491644466,1238.105580991535,1238.4127868452251,1238.412786845219,1.000000000000005,1238.4127868452251,1238.4127868452251,-0.3072058536840814,6.139089236967266e-12,0.0,6.139089236967266e-12,6.139089236967266e-12
IND,India,3158591.4190404927,0.9988601880605904,0.9999767434673662,3526.7423267256945,73.45788442969788,565.3964098046754,564.8800981393194,-0.5163116653559428,564.7650987042291,564.8669609868829,564.8733206851515,0.999988732453922,564.8543719350589,564.9769803215967,-0.11499943509033983,-0.013137152436570432,-0.006777454167945507,-0.02572620426053618,0.096882182277227
IDN,Indonesia,1897440.3510520144,0.9906991922473796,0.9996150575621436,16917.32261277849,730.4053144082435,329.9082870566105,327.4421374785508,-2.466149578059685,326.9657364904008,327.3160911038929,327.38359353381867,0.9998048858631836,327.20914385552777,328.1049010943787,-0.47640098815003284,-0.12604637465790347,-0.05854394473215052,-0.2329936230230487,0.6627636158278847
IRN,Iran,1617661.0020893426,0.9993144035428134,0.9999929165982504,1097.6041091887273,11.45854274535979,1252.012078505555,1251.2837191797364,-0.7283593258189285,1251.162565947286,1251.2748558344508,1251.2763318761788,0.9999988247698792,1251.2745671858302,1251.2913322943812,-0.12115323245029685,-0.008863345285590185,-0.007387303557607083,-0.00915199390624366,0.007613114644755115
IRQ,Iraq,440934.90216790454,0.9989618314230656,1.000000000000002,457.7647599052787,0.0,300.6508917252356,300.4091698788046,-0.2417218464310053,300.33876541681855,300.4091698788052,300.4091698788046,1.000000000000002,300.4091698788052,300.4091698788052,-0.07040446198607242,5.684341886080801e-13,0.0,5.684341886080801e-13,5.684341886080801e-13
ISR,Israel,21870.81354761633,0.9970455619707796,0.9999987140638812,64.58783880598087,0.0281244690878861,306.86757127852195,305.7738114319793,-1.093759846542639,305.96134350274474,305.773418226391,305.7734307319041,1.0,305.7729116052106,305.7735642473731,0.18753207076542822,-0.0003932055882955865,-0.0003807000751976375,-0.0008998267687161388,-0.0002471846062235272
JPN,Japan,371511.1203919404,0.9877564104767608,0.9995993482073348,4399.783065017567,148.84659638330842,388.7242538069018,384.9264647719225,-3.797789034979303,384.1187714799525,384.7722432937673,384.83788967141106,0.9998516144031958,384.7104006335092,385.34598337520333,-0.8076932919699971,-0.15422147815519338,-0.08857510051143436,-0.2160641384132873,0.4195186032808351
JOR,Jordan,86155.66690495415,0.9997849217773948,0.9999969969374436,18.2714768479778,0.258730857274191,766.845265819918,766.6363150851067,-0.2089507348113102,766.6826364990505,766.6340128282944,766.6339337367586,0.9999991035803716,766.6328359224149,766.6338525181275,0.04632141394381506,-0.0023022568122996745,-0.0023813483480807918,-0.003479162691860438,-0.0024625669792612825
KAZ,Kazakhstan,2641278.1988892895,0.9989961778844,0.9999989941010944,2648.7166106475693,2.656858846579675,360.17199021852525,359.99507250500574,-0.176917713519515,359.8108035426177,359.99471038635636,359.99480081233116,0.999999983553793,359.99466514186184,359.99661629261533,-0.18426896238804602,-0.00036211864937740756,-0.0002716926745733872,-0.0004073631438927805,0.001543787609591618
LAO,Laos,230512.62345040348,0.9988073118264412,1.0,274.9296798452882,0.0,659.1269702201769,658.5065065741925,-0.6204636459843869,658.3408372779217,658.5065065741925,658.5065065741925,1.0,658.5065065741925,658.5065065741925,-0.16566929627083482,0.0,0.0,0.0,0.0
LBN,Lebanon,10045.02584065483,0.9957264137194772,0.999944230863964,42.36808220753026,0.5602024125904179,979.0885785047524,975.5466636947478,-3.541914810004414,974.9587315943692,975.492258300151,975.5383295341194,0.9999527900012164,975.4921236579644,975.547182270802,-0.5879321003786799,-0.05440539459686988,-0.008334160628464815,-0.05454003678346453,0.0005185760541053241
MYS,Malaysia,330713.551864837,0.9948687839983216,0.9998445667606004,1645.5587906210717,51.403878681109475,266.5507579374853,265.3216541254244,-1.2291038120608846,265.2242530879218,265.2804143212408,265.3047929889243,0.999912658369673,265.2722395043059,265.34718088552785,-0.09740103750260687,-0.04123980418358997,-0.016861136500097018,-0.049414621118501145,0.025526760103446122
MNG,Mongolia,1549501.694361067,0.999657940722204,0.9999999611464664,529.9612269008696,0.0602036115535315,1489.2477545236122,1489.1815071102778,-0.0662474133343948,1488.738401354988,1489.1814492503142,1489.1814788372822,0.9999999999999972,1489.1814712959126,1489.1815418187657,-0.4431057552899347,-5.785996359009005e-05,-2.827299567798036e-05,-3.581436521926662e-05,3.470848787401337e-05
NPL,Nepal,143584.19359180162,1.0,1.0,0.0,0.0,2122.0242024122344,2122.0242024122344,0.0,2122.0242024122344,2122.0242024122344,2122.0242024122344,1.0,,,0.0,0.0,0.0,,
OMN,Oman,311210.71743266925,0.9981767982169932,0.9999585897002412,554.5126058169816,12.887329097653202,275.3275104687551,274.9653997435547,-0.3621107252004094,274.83691393974874,274.954013343928,274.9594459603444,0.9999844512249052,274.95205577872986,274.98088640934174,-0.1284858038059724,-0.011386399626701404,-0.005953783210316033,-0.013343964824855448,0.015486665787022957
PAK,Pakistan,879331.2324352971,0.9990096729416452,0.9999918150756612,863.6282531308848,7.197259616565162,1012.4713140623364,1011.4995773479332,-0.9717367144030504,1011.4769151862336,1011.491298300424,1011.4939455885066,0.9999974413543388,1011.4911886930386,1011.4935999555012,-0.022662161699599892,-0.008279047509176962,-0.005631759426591998,-0.008388654894588399,-0.0059773924319870275
PHL,Philippines,296328.0139072005,0.9797973882280218,0.9989230775542878,5667.477532658555,319.1222894696917,324.154290609323,318.90237319574027,-5.25191741358276,317.9479325870927,318.5589400720549,318.7159431446425,0.9995383612370492,318.3815844067769,320.094542250988,-0.9544406086475874,-0.34343312368537227,-0.18643005109777278,-0.5207887889633867,1.1921690552477457
QAT,Qatar,11392.41913240962,0.9833215140348434,0.9993834284207456,182.9840607530787,7.024241855975003,25.908567167213757,25.5622413486713,-0.3463258185424571,25.492169240385227,25.54648039715367,25.55228578653511,0.9998201630823216,25.53936740796977,25.560254119261224,-0.07007210828607313,-0.015760951517631128,-0.009955562136191531,-0.022873940701529705,-0.001987229410076452
