Country,iso3,m49_subregion,observed,cv_prediction,cv_error,n_train,nearest_train_km,unseen_levels
Bolivia,BOL,South America,0.107815,0.117718,-0.00990338,145,894.7,0
Brazil,BRA,South America,0.164696,0.0816851,0.0830108,142,555.1,0
Chile,CHL,South America,0.0993072,0.150893,-0.0515861,147,523.7,0
Colombia,COL,South America,0.13225,0.114143,0.0181076,145,659.8,0
Ecuador,ECU,South America,0.125294,0.0989848,0.0263091,148,555.1,0
Paraguay,PRY,South America,0.122682,0.151455,-0.0287728,146,523.7,0
Peru,PER,South America,0.102347,0.10302,-0.000673232,145,695.4,0
Suriname,SUR,South America,0.149918,0.120466,0.0294515,148,1219.4,0
Uruguay,URY,South America,0.13406,0.131181,0.00287903,147,1111.1,0
Venezuela,VEN,South America,0.142098,0.118399,0.0236991,147,659.8,0
