Country,iso3,m49_subregion,observed,cv_prediction,cv_error,n_train,nearest_train_lower_km,unseen_levels
Syria,SYR,Western Asia,0.14323534954112288,0.21430482271173365,-0.07106947317061077,138,584.2435976894245,0
Taiwan,TWN,Eastern Asia,0.13706412122195852,0.14514480116050624,-0.008080679938547719,147,845.9041034836367,0
Tajikistan,TJK,Central Asia,0.233975502099763,0.2037628237335043,0.03021267836625871,143,568.6539133064839,0
Thailand,THA,South-eastern Asia,0.11983102194091183,0.16213029411082344,-0.04229927216991161,142,583.964746833446,0
Turkey,TUR,Western Asia,0.1419623303023036,0.15622326028830275,-0.014260929985999149,129,506.9514190084059,0
Turkmenistan,TKM,Central Asia,0.2752870410187589,0.18726636851801248,0.08802067250074641,141,502.3155465637135,0
United Arab Emirates,ARE,Western Asia,0.2248308233871666,0.16362451433462596,0.061206309052540625,144,595.6035032545958,0
Uzbekistan,UZB,Central Asia,0.27739224194989204,0.20934363279781762,0.06804860915207442,142,519.6002071985519,0
Vietnam,VNM,South-eastern Asia,0.122632583177362,0.15883917590787833,-0.036206592730516324,143,743.2317243953779,0
Yemen,YEM,Western Asia,0.20150002766065422,0.15282299136987088,0.04867703629078335,142,596.9267432386954,0
Albania,ALB,Southern Europe,0.15748303087977816,0.1428072855973103,0.014675745282467872,138,532.1940953141744,0
Austria,AUT,Western Europe,0.21029967713303166,0.21833416369282216,-0.008034486559790499,133,532.1940953141744,0
Belarus,BLR,Eastern Europe,0.21395039394228654,0.21267798118871856,0.0012724127535679863,137,523.4292153680008,0
Belgium,BEL,Western Europe,0.1951636806716645,0.17209711009210377,0.02306657057956074,141,575.2113851156029,0
Bosnia And Herzegovina,BIH,Southern Europe,0.18440933101350881,0.18743815381748768,-0.00302882280397887,132,516.557346163752,0
Bulgaria,BGR,Eastern Europe,0.16411393376308978,0.21041847531214233,-0.04630454154905256,136,516.1513126517902,0
Croatia,HRV,Southern Europe,0.18952185187085302,0.20488854185422975,-0.01536668998337673,131,616.9791693143779,0
