iso3,n_cells_15min,land_area_km2,centroid_lon,centroid_lat,abs_centroid_lat,lat_min,lat_max,lat_sd_area_weighted,coastal_cell_fraction,elev_mean_m,elev_sd_m,elev_p10_m,elev_p90_m,elev_max_m,elev_below_sea_fraction,koppen_classified_fraction,koppen_share_A,koppen_share_B,koppen_share_C,koppen_share_D,koppen_share_E,koppen_area_dominant,koppen_area_dominant_share
PYF,216,159258,-144.004,-17.0788,17.0788,-27.875,-7.875,3.44691,0.962665,120.511,201.147,5.52992,369.045,999.774,0.940329,0.0700912,1,0,0,0,0,A,1
QAT,25,17453.4,51.2251,25.3837,25.3837,24.625,26.125,0.438674,0.319361,24.941,17.2555,3.99856,49.4155,71.5584,0.324444,0.959831,0,1,0,0,0,B,1
REU,9,6486.29,55.5415,-21.1527,21.1527,-21.375,-20.875,0.184277,0.777735,943.989,560.339,235.831,1553.65,2305.34,0.62963,1,0.222638,0,0.777362,0,0,C,0.777362
ROU,445,239514,25.016,45.8386,45.8386,43.875,48.125,1.12648,0.0160934,397.89,384.099,52.2816,985.787,2235.82,0.0137328,1,0,0.135041,0.00453287,0.860426,0,D,0.860426
RUS,49277,1.7535e+07,96.6212,66.3368,66.3368,41.375,81.875,7.24157,0.0433155,372.707,404.781,36.7118,872.007,4850.55,0.0502375,0.991655,0,0.0276557,0.00110956,0.85018,0.121054,D,0.85018
RWA,33,25485.6,29.9357,-1.97345,1.97345,-2.625,-1.125,0.417148,0,1697.64,340.032,1373.09,2173.19,2988.36,0,1,0.969687,0,0.0303131,0,0,A,0.969687
SAU,2826,1.99064e+06,44.495,23.9847,23.9847,16.125,32.125,3.65074,0.0293905,642.093,398.886,124.149,1079.43,2691.54,0.0397499,0.98398,0,1,0,0,0,B,1
SDN,2540,1.88322e+06,30.0136,16.0031,16.0031,8.875,21.875,3.41113,0.00772027,529.967,191.333,343.628,778.475,2813.89,0.00940507,0.99456,0.0312014,0.968799,0,0,0,B,0.968799
SEN,273,204319,-14.6446,14.3796,14.3796,12.375,16.625,1.10062,0.0549598,49.9937,39.1113,11.996,87.6151,472.3,0.0651201,0.98537,0.27303,0.72697,0,0,0,B,0.72697
SGP,2,1545.17,103.75,1.25,1.25,1.125,1.375,0.125,0,11.9472,6.44144,5.11507,18.208,21.9248,0.666667,1,1,0,0,0,0,A,1
SGS,45,19702,-34.3102,-55.476,55.476,-59.375,-53.625,1.78315,0.840214,423.756,385.252,19.5341,1050.65,1829.72,0.792593,0.474934,0,0,0,0,1,E,1
SHN,11,7374.75,-9.35525,-26.1847,26.1847,-40.375,-7.875,12.2311,1,791.754,512.764,210.919,1412.02,1554.95,0.939394,0,,,,,,,
SJM,678,101779,17.776,78.7042,78.7042,70.875,80.875,1.58184,0.35941,363.255,266.747,37.4203,723.934,1763.59,0.395608,0.895922,0,0,0,0,1,E,1
SLB,170,129743,160.153,-8.8998,8.8998,-12.375,-4.375,1.56171,0.811645,202.531,245.257,11.0271,544.019,1589.23,0.756863,0.676669,1,0,0,0,0,A,1
SLE,110,84070.2,-11.8842,8.46964,8.46964,6.875,9.875,0.758184,0.10929,187.982,172.016,13.3848,437.455,862.839,0.130303,0.963542,1,0,0,0,0,A,1
SLV,37,27785.9,-88.8676,13.6389,13.6389,13.125,14.375,0.323306,0.270656,429.654,325.509,33.5379,843.485,1692.58,0.249249,0.972943,1,0,0,0,0,A,1
SOM,900,690149,45.9583,6.10964,6.10964,-1.375,11.875,3.61052,0.100784,421.126,373.993,49.36,979.601,2152.1,0.0758025,0.992205,0.0225673,0.977433,0,0,0,B,0.977433
SPM,5,2638.83,-56.2247,46.9244,46.9244,46.625,47.125,0.187194,0.600559,72.5809,65.4222,17.1604,139.214,162.924,0.933333,1,0,0,0,1,0,D,1
SPR,9,6831.15,114.764,10.8196,10.8196,10.125,11.375,0.386981,1,14.2359,12.1364,4.9,26.4639,31.3299,0.962963,0,,,,,,,
SRB,143,79183.7,20.8198,44.2099,44.2099,42.375,46.125,0.951359,0,426.426,373.987,78.4841,1000.48,2135.08,0,1,0,0,0.166489,0.833511,0,D,0.833511
SSD,818,626689,30.3092,7.293,7.293,3.625,12.125,1.83909,0,518.065,168.233,393.717,717.631,2827.73,0,1,0.93554,0.0644604,0,0,0,A,0.93554
STP,9,6954.35,6.79158,0.486032,0.486032,-0.125,1.625,0.566508,0.88888,324.175,270.772,90.7901,574.758,1040.82,0.851852,0.444477,1,0,0,0,0,A,1
SUR,198,152569,-55.8966,4.20746,4.20746,1.875,6.125,1.07624,0.0654906,140.397,116.845,6.99632,277.957,866.907,0.0319865,0.979855,1,0,0,0,0,A,1
SVK,98,49967.5,19.5528,48.7199,48.7199,47.875,49.375,0.414129,0,441.751,305.036,122.221,859.611,2181.17,0,1,0,0,0,1,0,D,1
SVN,42,22494.7,14.8053,46.1256,46.1256,45.625,46.625,0.327381,0,565.685,372.564,203.924,1063.23,1974.47,0.0238095,1,0,0,0.0958857,0.904114,0,D,0.904114
SWE,1404,500200,16.3917,62.0793,62.0793,55.375,68.875,3.616,0.0823395,310.659,258.818,42.5,695.561,1699.79,0.0937005,0.977077,0,0,0,0.967922,0.0320778,D,0.967922
SWZ,25,17280.8,31.4749,-26.5541,26.5541,-27.125,-25.875,0.377665,0,674.133,391.721,235.669,1257.97,1517.65,0,1,0,0.279306,0.720694,0,0,C,0.720694
SXM,1,735.468,-63.125,17.875,17.875,17.875,17.875,0,1,,,,,,1,0,,,,,,,
