variant,fit,fold,column,coefficient
M0_legacy_representation,primary_training,13,climate_zone=E,-0.09213980006895431
M0_legacy_representation,primary_training,13,hemisphere=S,-0.030313204845093474
M0_legacy_representation,primary_training,13,spatial_block=Asia,-0.05483828050691573
M0_legacy_representation,primary_training,13,spatial_block=Europe,-0.06704650229793514
M0_legacy_representation,primary_training,13,spatial_block=North America,-0.09370464236873201
M0_legacy_representation,primary_training,13,spatial_block=Oceania,-0.060275893841812395
M0_legacy_representation,primary_training,13,spatial_block=South America,-0.06327770692000585
M0_legacy_representation,primary_training,13,income_group=Low-income countries,0.02088261506837136
M0_legacy_representation,primary_training,13,income_group=Lower-middle-income countries,-0.0016747671148726175
M0_legacy_representation,primary_training,13,income_group=Upper-middle-income countries,-0.012785078421540174
M0_legacy_representation,primary_training,14,intercept,0.016123082365268243
M0_legacy_representation,primary_training,14,cum_co2_per_capita,0.04396498612684664
M0_legacy_representation,primary_training,14,cum_co2_total,-0.02596246871645231
M0_legacy_representation,primary_training,14,abs_latitude,0.0008848709818835338
M0_legacy_representation,primary_training,14,elevation,-1.5986090874054718e-06
M0_legacy_representation,primary_training,14,continentality,4.589235222673863e-05
M0_legacy_representation,primary_training,14,population,0.0268110393483038
M0_legacy_representation,primary_training,14,station_density,-0.0016779908364073955
M0_legacy_representation,primary_training,14,climate_zone=B,0.002523020905316152
M0_legacy_representation,primary_training,14,climate_zone=C,-0.023310103199411472
M0_legacy_representation,primary_training,14,climate_zone=D,-0.00781270351226287
M0_legacy_representation,primary_training,14,climate_zone=E,-0.09227116944478445
M0_legacy_representation,primary_training,14,hemisphere=S,-0.029716940337198593
M0_legacy_representation,primary_training,14,spatial_block=Asia,-0.05625783514277214
M0_legacy_representation,primary_training,14,spatial_block=Europe,-0.06500146773385651
M0_legacy_representation,primary_training,14,spatial_block=North America,-0.09750858264194077
M0_legacy_representation,primary_training,14,spatial_block=Oceania,-0.05926489327074277
M0_legacy_representation,primary_training,14,spatial_block=South America,-0.0671056178815811
M0_legacy_representation,primary_training,14,income_group=Low-income countries,0.0007203375070599854
