weights,family,representation,theta,loglik
land,sar,primary_total_co2,-0.71,273.828453693649
land,sar,primary_total_co2,-0.7,274.5325124812397
land,sar,primary_total_co2,-0.69,275.2374350852945
land,sar,primary_total_co2,-0.6799999999999999,275.94321713731796
land,sar,primary_total_co2,-0.6699999999999999,276.6498539022562
land,sar,primary_total_co2,-0.6599999999999999,277.3573402679804
land,sar,primary_total_co2,-0.6499999999999999,278.06567073447695
land,sar,primary_total_co2,-0.6399999999999999,278.77483940273436
land,sar,primary_total_co2,-0.63,279.4848399633207
land,sar,primary_total_co2,-0.62,280.19566568464455
land,sar,primary_total_co2,-0.61,280.90730940088986
land,sar,primary_total_co2,-0.6,281.61976349961947
land,sar,primary_total_co2,-0.59,282.33301990903567
land,sar,primary_total_co2,-0.58,283.0470700848932
land,sar,primary_total_co2,-0.5700000000000001,283.7619049970537
land,sar,primary_total_co2,-0.56,284.47751511567395
land,sar,primary_total_co2,-0.55,285.1938903970194
land,sar,primary_total_co2,-0.54,285.9110202688944
land,sar,primary_total_co2,-0.53,286.6288936156782
land,sar,primary_total_co2,-0.52,287.34749876296087
land,sar,primary_total_co2,-0.51,288.0668234617662
land,sar,primary_total_co2,-0.5,288.78685487235555
land,sar,primary_total_co2,-0.49,289.5075795475999
land,sar,primary_total_co2,-0.48,290.2289834159134
land,sar,primary_total_co2,-0.47,290.9510517637358
land,sar,primary_total_co2,-0.45999999999999996,291.673769217556
land,sar,primary_total_co2,-0.44999999999999996,292.39711972546513
land,sar,primary_total_co2,-0.43999999999999995,293.12108653823003
land,sar,primary_total_co2,-0.42999999999999994,293.8456521898757
land,sar,primary_total_co2,-0.41999999999999993,294.57079847776737
land,sar,primary_total_co2,-0.41000000000000003,295.2965064421811
land,sar,primary_total_co2,-0.4,296.0227563453522
land,sar,primary_total_co2,-0.39,296.7495276499907
land,sar,primary_total_co2,-0.38,297.4767989972543
land,sar,primary_total_co2,-0.37,298.2045481841658
land,sar,primary_total_co2,-0.36,298.9327521404661
land,sar,primary_total_co2,-0.35,299.66138690489106
land,sar,primary_total_co2,-0.33999999999999997,300.3904276008608
land,sar,primary_total_co2,-0.32999999999999996,301.11984841157175
land,sar,primary_total_co2,-0.31999999999999995,301.84962255447846
land,sar,primary_total_co2,-0.30999999999999994,302.57972225515715
land,sar,primary_total_co2,-0.29999999999999993,303.31011872053676
land,sar,primary_total_co2,-0.2899999999999999,304.0407821114893
land,sar,primary_total_co2,-0.28,304.7716815147672
land,sar,primary_total_co2,-0.27,305.50278491427673
land,sar,primary_total_co2,-0.26,306.23405916167957
land,sar,primary_total_co2,-0.25,306.9654699463065
land,sar,primary_total_co2,-0.24,307.6969817643797
land,sar,primary_total_co2,-0.22999999999999998,308.42855788752723
land,sar,primary_total_co2,-0.21999999999999997,309.1601603305846
land,sar,primary_total_co2,-0.20999999999999996,309.8917498186683
land,sar,primary_total_co2,-0.19999999999999996,310.6232857535184
land,sar,primary_total_co2,-0.18999999999999995,311.3547261790939
land,sar,primary_total_co2,-0.17999999999999994,312.0860277464167
land,sar,primary_total_co2,-0.16999999999999993,312.8171456776529
land,sar,primary_total_co2,-0.15999999999999992,313.54803372942376
land,sar,primary_total_co2,-0.15000000000000002,314.2786441553379
land,sar,primary_total_co2,-0.14,315.0089276677369
land,sar,primary_total_co2,-0.13,315.7388333986472
land,sar,primary_total_co2,-0.12,316.46830885993086
land,sar,primary_total_co2,-0.10999999999999999,317.1972999026287
land,sar,primary_total_co2,-0.09999999999999998,317.9257506754892
land,sar,primary_total_co2,-0.08999999999999997,318.653603582679
land,sar,primary_total_co2,-0.07999999999999996,319.3807992406676
